HomeTeam,AwayTeam,FTR,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25,HomeGoalsScoredHome,HomeGoalsConcededHome,AwayGoalsScoredAway,AwayGoalsConcededAway,APHH,APHA,APAH,APAA,AHHY,AHR,AHAYY,AHAR,AAHHY,AAHR,AAAYY,AAAR,AHHG,AHAG,TAHG,TAAG,AAHG,AAAG,AHHG_AWAY,AHAG_AWAY,Last_Home_Yellow,Last_Home_Red,Last_Away_Yellow,Last_Away_Red
Standard,Genk,H,2,1,5.0,7.0,3.0,4.0,5.0,6.0,3.0,4.0,0.0,0.0,2.2,3.3,3.25,1.93,1.86,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0
Kortrijk,Lokeren,H,1,0,20.0,11.0,10.0,5.0,14.0,4.0,1.0,4.0,0.0,0.0,2.05,3.4,3.5,1.88,1.89,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,3.0,0.0
Mouscron,Charleroi,A,2,5,11.0,7.0,5.0,7.0,4.0,3.0,3.0,1.0,1.0,0.0,3.3,3.25,2.2,2.12,1.68,0,0,0,0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0
Waasland-Beveren,Mechelen,D,2,2,17.0,11.0,10.0,5.0,4.0,4.0,3.0,4.0,0.0,0.0,2.45,3.4,2.75,1.92,1.85,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0
Waregem,St Truiden,H,2,0,14.0,2.0,7.0,2.0,11.0,1.0,2.0,3.0,0.0,1.0,1.75,3.75,4.33,1.83,1.94,0,0,0,0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0
Anderlecht,Oostende,H,1,0,17.0,10.0,8.0,7.0,9.0,9.0,1.0,3.0,0.0,0.0,1.4,4.5,8.0,1.56,2.34,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0
Club Brugge,Eupen,H,3,1,13.0,8.0,5.0,4.0,5.0,2.0,1.0,3.0,0.0,1.0,1.22,5.75,13.0,1.41,2.75,0,0,0,0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,1.0,1.0,2.0,0.0
Gent,Antwerp,A,0,1,14.0,2.0,3.0,1.0,6.0,3.0,2.0,5.0,0.0,0.0,1.44,4.2,7.5,1.81,1.96,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0
Waregem,Club Brugge,A,1,2,7.0,8.0,3.0,6.0,4.0,4.0,1.0,3.0,0.0,0.0,3.3,3.4,2.15,1.68,2.14,2,0,4,0,3.0,3.0,3.0,3.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,5.0,3.0,1.0,0.0,4.0,2.0,0.0,1.0,0.0
Eupen,Kortrijk,A,1,2,16.0,9.0,7.0,6.0,10.0,1.0,3.0,4.0,0.0,0.0,2.1,3.5,3.3,1.73,2.06,0,5,0,1,0.0,0.0,3.0,0.0,2.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,3.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0
Lokeren,Mouscron,A,0,2,5.0,8.0,2.0,7.0,2.0,3.0,4.0,1.0,1.0,0.0,1.8,3.75,4.2,1.95,1.81,0,4,1,0,0.0,0.0,0.0,3.0,3.0,0.0,4.0,0.0,3.0,1.0,3.0,0.0,0.0,4.0,1.0,0.0,2.0,5.0,0.0,1.0,4.0,0.0,3.0,1.0
Mechelen,Gent,D,1,1,9.0,13.0,5.0,7.0,7.0,7.0,2.0,1.0,0.0,0.0,3.1,3.25,2.3,1.92,1.84,1,1,2,3,1.0,1.0,0.0,0.0,3.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,3.0,2.0,4.0,0.0,2.0,0.0
Oostende,Waasland-Beveren,A,0,3,16.0,10.0,10.0,7.0,10.0,6.0,1.0,0.0,0.0,0.0,1.73,3.6,4.75,1.61,2.24,0,1,3,3,0.0,0.0,1.0,1.0,3.0,1.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,3.0,3.0,3.0,0.0,3.0,0.0
Antwerp,Genk,A,3,5,8.0,12.0,5.0,8.0,5.0,3.0,1.0,1.0,0.0,0.0,3.3,3.4,2.15,1.93,1.83,0,0,1,2,1.0,3.0,1.0,0.0,3.0,0.0,5.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,2.0,1.0,5.0,0.0,4.0,0.0
Charleroi,Anderlecht,H,2,0,8.0,8.0,4.0,6.0,7.0,5.0,2.0,3.0,0.0,0.0,4.2,3.5,1.85,1.99,1.78,1,0,0,0,3.0,3.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
St Truiden,Standard,H,1,0,10.0,10.0,5.0,4.0,2.0,3.0,3.0,4.0,0.0,2.0,3.5,3.3,2.1,2.0,1.77,3,2,1,1,3.0,0.0,3.0,1.0,2.0,0.0,3.0,1.0,3.0,0.0,3.0,0.0,3.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,0.0
Standard,Waregem,A,0,4,12.0,15.0,7.0,9.0,3.0,5.0,0.0,2.0,0.0,0.0,1.67,4.0,4.75,1.71,2.11,2,1,5,0,3.0,0.5,1.5,3.0,3.0,0.0,3.5,1.0,1.5,0.0,2.0,0.0,2.0,1.0,1.0,0.5,1.5,1.0,0.0,5.0,4.0,2.0,1.0,0.0
