HomeTeam,AwayTeam,FTR,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25,HomeGoalsScoredHome,HomeGoalsConcededHome,AwayGoalsScoredAway,AwayGoalsConcededAway,APHH,APHA,APAH,APAA,AHHY,AHR,AHAYY,AHAR,AAHHY,AAHR,AAAYY,AAAR,AHHG,AHAG,TAHG,TAAG,AAHG,AAAG,AHHG_AWAY,AHAG_AWAY,Last_Home_Yellow,Last_Home_Red,Last_Away_Yellow,Last_Away_Red
FC Koln,Hamburg,A,1,3,20,12,6,4,6,7,2,2,0,1,1.95,3.4,4.0,2.06,1.76,0,0,0,0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0
Augsburg,M'gladbach,D,2,2,24,15,9,3,10,0,2,2,0,0,3.25,3.4,2.25,2.08,1.75,0,0,0,0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0
Dortmund,Hertha,H,2,0,18,7,8,4,4,4,1,1,0,0,1.36,5.0,7.5,1.53,2.49,0,0,0,0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Ein Frankfurt,Wolfsburg,A,0,1,12,7,6,3,7,2,3,1,0,0,2.3,3.25,3.3,2.12,1.72,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0
Leverkusen,Hoffenheim,D,2,2,16,6,3,4,6,1,2,2,0,0,2.05,3.6,3.6,1.6,2.34,0,0,0,0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
Stuttgart,Mainz,H,1,0,17,13,4,6,5,6,2,1,0,0,2.3,3.4,3.1,1.8,2.01,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0
Werder Bremen,Bayern Munich,A,0,2,4,19,1,8,2,8,1,1,0,0,11.0,6.5,1.25,1.37,3.02,0,0,0,0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0
Hannover,Schalke 04,H,1,0,11,8,3,1,2,6,1,2,0,0,3.3,3.4,2.2,1.86,1.95,0,0,0,0,0.0,3.0,3.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0
RB Leipzig,Freiburg,H,4,1,29,7,11,2,8,2,2,0,0,1,1.36,5.0,8.5,1.69,2.16,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
Hamburg,RB Leipzig,A,0,2,9,19,2,4,4,14,1,1,0,0,4.0,3.6,1.91,1.86,1.96,1,0,0,2,3.0,3.0,3.0,0.0,4.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,3.0,4.0,1.0,2.0,0.0,2.0,1.0,2.0,0.0
Augsburg,FC Koln,H,3,0,10,13,4,3,6,9,0,0,0,0,2.38,3.3,3.1,2.15,1.7,2,2,0,1,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,3.0,1.0,0.0,2.0,0.0,2.0,0.0
Freiburg,Dortmund,D,0,0,5,27,2,3,0,7,0,0,1,0,7.5,5.0,1.4,1.59,2.35,0,0,3,0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0
Hoffenheim,Bayern Munich,H,2,0,6,23,3,6,2,4,3,1,0,0,7.0,4.5,1.45,1.44,2.74,1,0,2,0,3.0,1.0,3.0,3.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,3.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0
Mainz,Leverkusen,H,3,1,14,13,5,2,1,3,2,2,0,0,3.0,3.4,2.38,1.77,2.05,0,1,1,3,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,3.0,1.0,1.0,0.0,2.0,0.0
M'gladbach,Ein Frankfurt,A,0,1,15,12,3,6,13,5,3,2,0,0,1.83,3.6,4.5,1.92,1.88,1,0,0,0,3.0,1.0,0.0,1.0,3.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0
Wolfsburg,Hannover,D,1,1,17,7,6,2,3,1,0,1,0,0,1.83,3.6,4.5,2.02,1.8,0,3,1,0,0.0,3.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
Hertha,Werder Bremen,D,1,1,8,10,4,5,5,7,1,0,0,0,1.91,3.6,4.0,1.87,1.94,2,0,0,1,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0
Schalke 04,Stuttgart,H,3,1,12,11,4,2,2,1,1,1,0,0,1.7,3.75,5.0,1.77,2.05,2,0,0,2,3.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0
Hannover,Hamburg,H,2,0,17,12,4,3,4,7,1,0,0,0,1.95,3.5,4.0,2.07,1.76,1,0,3,1,3.0,2.0,1.5,3.0,1.0,0.0,3.0,0.0,2.5,0.0,2.0,1.0,1.0,0.0,0.5,1.0,0.5,1.0,1.0,3.0,1.0,0.0,1.0,0.0
Bayern Munich,Mainz,H,4,0,28,11,14,4,10,5,2,2,0,0,1.13,10.0,19.0,1.33,3.25,3,1,0,1,3.0,1.5,1.5,0.0,1.0,0.0,1.0,0.0,2.5,0.0,1.0,0.0,3.0,1.0,1.0,1.0,1.5,1.0,1.0,0.0,1.0,0.0,2.0,0.0
Ein Frankfurt,Augsburg,A,1,2,23,11,8,3,4,4,2,3,0,0,1.85,3.5,4.5,2.25,1.64,0,1,0,1,0.0,2.0,2.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.5,2.5,1.0,1.0,0.0,2.0,0.0,0.0,0.0
RB Leipzig,M'gladbach,D,2,2,10,10,3,3,3,2,1,1,1,0,1.67,3.8,5.5,1.67,2.19,4,1,2,2,3.0,1.5,1.5,1.0,2.0,0.0,1.5,0.0,3.0,0.0,2.0,0.0,4.0,1.0,1.0,1.0,0.5,0.5,2.0,2.0,1.0,0.0,3.0,0.0
Stuttgart,Wolfsburg,H,1,0,8,8,4,1,2,3,2,3,0,0,2.3,3.5,3.0,1.89,1.91,1,0,1,0,3.0,0.0,0.5,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.5,0.5,0.5,2.0,0.0,1.0,1.0,0.0,0.0,0.0
Werder Bremen,Schalke 04,A,1,2,16,11,2,4,6,5,2,2,0,0,2.8,3.5,2.5,1.8,2.01,0,2,0,1,0.0,0.5,3.0,0.0,1.0,0.0,1.5,0.0,1.5,0.0,2.0,0.0,0.0,2.0,1.0,0.5,2.5,0.5,1.0,0.0,0.0,0.0,1.0,0.0
Dortmund,FC Koln,H,5,0,22,6,8,2,8,5,0,3,0,0,1.22,6.0,13.0,1.43,2.77,2,0,0,4,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,1.5,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
Hoffenheim,Hertha,D,1,1,8,9,2,4,5,2,2,2,0,0,1.67,3.8,5.5,1.77,2.04,3,0,0,2,3.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,1.5,0.0,1.0,0.0,1.5,0.0,2.0,2.0,1.5,0.5,2.0,0.0,3.0,0.0,1.0,0.0
Leverkusen,Freiburg,H,4,0,22,4,9,1,5,4,0,2,0,0,1.45,4.5,7.0,1.56,2.4,2,2,1,4,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.5,0.5,0.0,1.0,2.0,2.0,3.0,1.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,1.0
