HomeTeam,AwayTeam,FTR,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25,HomeGoalsScoredHome,HomeGoalsConcededHome,AwayGoalsScoredAway,AwayGoalsConcededAway,APHH,APHA,APAH,APAA,AHHY,AHR,AHAYY,AHAR,AAHHY,AAHR,AAAYY,AAAR,AHHG,AHAG,TAHG,TAAG,AAHG,AAAG,AHHG_AWAY,AHAG_AWAY,Last_Home_Yellow,Last_Home_Red,Last_Away_Yellow,Last_Away_Red
Barnsley,Ipswich,A,1,2,25.0,9.0,10.0,2.0,11.0,7.0,1.0,2.0,0.0,0.0,2.55,3.3,3.0,2.06,1.74,0,0,0,0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
Birmingham,Bristol City,H,2,1,18.0,25.0,8.0,3.0,2.0,10.0,0.0,2.0,1.0,0.0,2.55,3.5,2.9,1.99,1.8,0,0,0,0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
Brentford,Nott'm Forest,A,3,4,20.0,13.0,9.0,6.0,12.0,3.0,1.0,3.0,0.0,0.0,1.85,3.75,4.5,1.66,2.18,0,0,0,0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cardiff,Aston Villa,H,3,0,15.0,10.0,12.0,1.0,4.0,7.0,0.0,1.0,0.0,0.0,2.7,3.2,2.9,2.37,1.56,0,0,0,0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
Derby,Wolves,A,0,2,13.0,12.0,3.0,3.0,10.0,5.0,0.0,0.0,0.0,0.0,2.4,3.25,3.3,2.44,1.52,0,0,0,0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Hull,Burton,H,4,1,27.0,6.0,11.0,2.0,5.0,2.0,2.0,1.0,0.0,1.0,1.67,3.8,6.0,2.03,1.76,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Leeds,Preston,D,0,0,12.0,9.0,4.0,1.0,6.0,4.0,1.0,1.0,0.0,1.0,2.05,3.5,4.0,2.09,1.71,0,0,0,0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Middlesbrough,Sheffield United,H,1,0,15.0,7.0,2.0,3.0,4.0,3.0,1.0,1.0,0.0,0.0,1.91,3.5,4.75,2.19,1.65,0,0,0,0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Millwall,Bolton,D,1,1,14.0,5.0,8.0,2.0,4.0,0.0,2.0,3.0,0.0,0.0,2.1,3.4,4.0,2.05,1.74,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0
Reading,Fulham,D,1,1,23.0,6.0,6.0,3.0,9.0,3.0,3.0,1.0,0.0,1.0,3.75,3.75,2.05,1.64,2.2,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0
