HomeTeam,AwayTeam,FTR,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25,HomeGoalsScoredHome,HomeGoalsConcededHome,AwayGoalsScoredAway,AwayGoalsConcededAway,APHH,APHA,APAH,APAA,AHHY,AHR,AHAYY,AHAR,AAHHY,AAHR,AAAYY,AAAR,AHHG,AHAG,TAHG,TAAG,AAHG,AAAG,AHHG_AWAY,AHAG_AWAY,Last_Home_Yellow,Last_Home_Red,Last_Away_Yellow,Last_Away_Red
Lamia,Olympiakos,A,0.0,1.0,11.0,7.0,3.0,3.0,1.0,5.0,4.0,6.0,0.0,1.0,15.0,7.0,1.17,1.72,2.03,0,0,0,0,0.0,1.0,3.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,5.0,0.0,2.0,0.0
Panetolikos,Atromitos,D,2.0,2.0,7.0,5.0,6.0,2.0,5.0,2.0,5.0,3.0,0.0,0.0,2.4,3.0,3.2,2.52,1.48,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,4.0,0.0
Platanias,Xanthi,A,0.0,2.0,13.0,6.0,8.0,4.0,5.0,5.0,4.0,5.0,0.0,0.0,2.3,3.0,3.4,2.71,1.42,1,1,0,0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0
Giannina,AEK,D,0.0,0.0,9.0,5.0,5.0,3.0,3.0,2.0,3.0,3.0,0.0,0.0,4.0,3.3,1.95,2.18,1.63,0,0,0,0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0
Panathinaikos,Levadeiakos,D,0.0,0.0,11.0,13.0,6.0,5.0,4.0,2.0,4.0,2.0,1.0,0.0,1.17,7.0,15.0,1.78,1.97,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0
Panionios,Apollon,H,2.0,0.0,10.0,5.0,8.0,2.0,4.0,5.0,1.0,2.0,0.0,0.0,1.6,3.3,6.5,2.55,1.47,0,0,1,1,0.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0
PAOK,Kerkyra,H,3.0,1.0,24.0,5.0,12.0,3.0,9.0,0.0,2.0,1.0,0.0,0.0,1.07,8.5,21.0,1.26,3.53,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0
Larisa,Asteras Tripolis,D,1.0,1.0,9.0,9.0,3.0,5.0,5.0,3.0,1.0,5.0,0.0,0.0,2.9,3.0,2.6,2.57,1.47,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0
Asteras Tripolis,Lamia,A,1.0,3.0,18.0,6.0,9.0,5.0,7.0,3.0,5.0,1.0,0.0,0.0,1.55,3.3,8.5,2.68,1.43,1,2,0,0,0.0,1.0,0.0,1.0,1.0,0.0,5.0,0.0,4.0,0.0,5.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,4.0,0.0
Atromitos,Giannina,D,0.0,0.0,18.0,8.0,8.0,3.0,6.0,2.0,2.0,3.0,0.0,0.0,2.0,3.1,4.2,2.64,1.44,1,1,2,1,1.0,1.0,1.0,3.0,4.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,3.0,0.0,3.0,0.0
Xanthi,Olympiakos,D,1.0,1.0,13.0,10.0,6.0,3.0,5.0,7.0,6.0,2.0,0.0,0.0,9.0,4.2,1.4,2.34,1.55,0,0,1,0,1.0,3.0,3.0,3.0,2.0,0.0,5.0,0.0,2.0,0.0,6.0,1.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,1.0,5.0,0.0,6.0,1.0
AEK,Larisa,H,4.0,0.0,20.0,1.0,11.0,0.0,4.0,0.0,1.0,2.0,0.0,1.0,1.2,6.0,15.0,1.78,1.98,2,0,1,4,3.0,1.0,1.0,0.0,2.0,1.0,3.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,3.0,0.0,1.0,0.0
Kerkyra,Panathinaikos,H,1.0,0.0,4.0,7.0,2.0,2.0,3.0,6.0,2.0,3.0,0.0,0.0,7.0,3.5,1.57,2.35,1.55,0,1,1,1,0.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,1.0
Levadeiakos,Platanias,D,1.0,1.0,15.0,7.0,5.0,4.0,1.0,5.0,1.0,4.0,0.0,0.0,2.25,3.1,3.3,2.79,1.4,0,0,0,0,1.0,1.0,0.5,0.0,4.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,0.0,0.0,2.0,0.0,4.0,0.0
Panionios,Panetolikos,D,1.0,1.0,4.0,6.0,3.0,1.0,1.0,4.0,3.0,6.0,0.0,0.0,1.65,3.3,6.5,2.59,1.46,2,0,0,2,3.0,3.0,1.0,0.0,1.0,0.0,2.0,0.0,5.0,0.0,6.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,5.0,0.0
Apollon,PAOK,D,0.0,0.0,12.0,13.0,7.0,6.0,5.0,5.0,4.0,5.0,1.0,0.0,10.0,4.33,1.36,2.15,1.64,0,0,0,0,0.0,0.5,3.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.5,0.5,3.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0
Levadeiakos,Xanthi,H,1.0,0.0,10.0,10.0,4.0,5.0,2.0,6.0,3.0,3.0,0.0,0.0,2.3,3.0,3.4,2.76,1.41,1,1,2,0,1.0,1.0,1.0,3.0,2.5,0.0,2.0,0.0,4.0,0.0,5.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,2.0,1.0,0.0,6.0,0.0
Olympiakos,Asteras Tripolis,D,1.0,1.0,12.0,8.0,3.0,6.0,5.0,3.0,3.0,3.0,0.0,0.0,1.22,6.0,13.0,1.57,2.29,4,1,1,1,3.0,2.0,0.0,1.0,2.0,0.0,4.0,0.5,3.0,0.0,5.0,0.0,4.0,1.0,0.5,1.0,1.0,2.5,1.0,1.0,2.0,0.0,5.0,0.0
PAOK,Panetolikos,H,1.0,0.0,11.0,5.0,8.0,1.0,4.0,4.0,1.0,2.0,0.0,0.0,1.17,6.5,19.0,1.67,2.11,3,1,1,3,3.0,1.0,1.0,0.5,2.0,0.0,3.5,0.0,5.0,0.0,6.0,0.5,3.0,1.0,0.0,0.0,2.0,2.0,1.5,0.5,5.0,0.0,6.0,0.0
Lamia,AEK,A,0.0,1.0,5.0,19.0,2.0,12.0,2.0,7.0,4.0,4.0,0.0,0.0,15.0,5.0,1.25,2.48,1.49,0,1,0,0,0.0,2.0,3.0,1.0,4.0,0.0,3.0,0.0,1.5,0.5,3.0,0.0,0.0,1.0,0.5,1.5,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Larisa,Atromitos,D,0.0,0.0,6.0,7.0,2.0,5.0,7.0,3.0,3.0,4.0,0.0,0.0,3.0,3.0,2.5,2.42,1.52,1,1,2,2,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.5,3.0,0.0,3.0,0.0,1.0,1.0,4.0,0.5,0.5,0.5,2.0,2.0,2.0,1.0,2.0,0.0
Panathinaikos,Apollon,H,1.0,0.0,12.0,6.0,6.0,2.0,3.0,4.0,2.0,3.0,0.0,0.0,1.25,5.5,12.0,1.88,1.85,0,0,1,3,1.0,0.5,1.0,0.5,4.0,1.0,2.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,1.5,0.5,3.0,0.0,4.0,1.0
Platanias,Kerkyra,D,0.0,0.0,10.0,6.0,4.0,3.0,9.0,2.0,2.0,5.0,0.0,0.0,1.67,3.3,6.0,2.56,1.47,1,3,1,3,0.5,1.0,1.5,0.0,4.0,0.0,4.0,0.0,3.0,0.0,1.0,0.0,0.5,1.5,1.0,1.0,0.5,0.5,3.0,1.0,4.0,0.0,2.0,0.0
Giannina,Panionios,D,1.0,1.0,14.0,8.0,4.0,1.0,13.0,4.0,4.0,3.0,0.0,1.0,2.5,3.0,3.0,2.57,1.46,0,0,1,0,1.0,2.0,2.0,3.0,3.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.5,1.0,1.5,0.5,0.0,1.0,3.0,0.0,3.0,0.0
Apollon,Platanias,A,0.0,1.0,5.0,5.0,2.0,3.0,6.0,3.0,3.0,4.0,1.0,0.0,2.25,3.0,3.5,2.62,1.45,0,0,1,1,1.0,0.3333333333333333,0.6666666666666666,1.0,4.0,1.0,2.3333333333333335,0.0,3.3333333333333335,0.0,4.0,0.0,0.0,0.0,1.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,3.0,0.0,2.0,0.0
Atromitos,Lamia,H,3.0,0.0,10.0,7.0,5.0,1.0,6.0,5.0,1.0,1.0,0.0,0.0,1.73,3.1,6.0,2.69,1.43,1,1,3,1,1.0,1.0,0.0,2.0,3.0,0.0,3.5,0.0,4.0,0.0,3.0,0.0,0.5,0.5,1.0,1.0,0.0,1.0,0.5,1.5,4.0,0.0,4.0,0.0
Panetolikos,Panathinaikos,H,2.0,0.0,9.0,8.0,5.0,2.0,2.0,4.0,3.0,4.0,0.0,0.0,3.6,3.1,2.15,2.52,1.48,2,2,1,2,1.0,0.3333333333333333,2.0,0.5,5.0,0.0,4.666666666666667,0.3333333333333333,3.0,0.5,2.0,0.0,2.0,2.0,1.3333333333333333,0.3333333333333333,0.5,0.0,1.0,0.5,2.0,0.0,2.0,0.0
AEK,Olympiakos,H,3.0,2.0,17.0,6.0,11.0,3.0,7.0,2.0,3.0,5.0,1.0,1.0,2.3,3.0,3.4,2.36,1.54,6,0,2,1,3.0,2.0,2.0,2.0,1.5,0.5,3.5,0.0,2.5,0.0,4.0,0.5,3.0,0.0,0.0,0.5,2.5,1.0,0.5,1.0,4.0,0.0,3.0,0.0
Kerkyra,Levadeiakos,D,1.0,1.0,15.0,6.0,5.0,2.0,6.0,3.0,3.0,2.0,0.0,1.0,2.5,3.0,3.0,2.58,1.46,1,1,0,0,1.5,0.5,1.6666666666666667,1.0,3.0,0.0,3.0,0.0,2.6666666666666665,0.0,2.0,0.0,0.5,0.5,1.5,0.5,0.6666666666666666,0.3333333333333333,0.0,0.0,5.0,0.0,3.0,0.0
Panionios,Larisa,H,4.0,1.0,20.0,6.0,9.0,2.0,10.0,1.0,2.0,2.0,0.0,0.0,1.62,3.2,7.5,2.33,1.55,3,1,1,8,2.0,2.0,1.0,0.0,2.0,0.0,2.5,0.5,2.0,0.0,2.0,0.5,1.5,0.5,0.5,1.0,0.5,0.5,4.0,0.5,3.0,1.0,3.0,0.0
PAOK,Giannina,H,1.0,0.0,19.0,4.0,7.0,2.0,7.0,0.0,0.0,4.0,0.0,0.0,1.25,5.0,15.0,1.81,1.94,4,1,2,1,3.0,1.0,1.0,2.0,1.5,0.0,3.5,0.0,3.5,0.0,3.0,0.0,2.0,0.5,0.0,0.0,0.5,0.5,0.5,1.0,1.0,0.0,4.0,0.0
Xanthi,Asteras Tripolis,D,0.0,0.0,5.0,5.0,0.0,1.0,5.0,3.0,0.0,4.0,0.0,0.0,2.1,3.1,3.75,2.55,1.47,1,1,2,2,1.0,1.5,0.0,1.0,4.0,0.0,4.0,0.0,3.0,0.0,4.0,0.0,0.5,0.5,0.5,1.0,1.0,2.5,1.0,1.0,3.0,0.0,3.0,0.0
Atromitos,Asteras Tripolis,H,1.0,0.0,16.0,3.0,6.0,1.0,5.0,1.0,2.0,5.0,0.0,2.0,1.85,3.4,4.33,2.4,1.53,4,1,2,2,1.6666666666666667,1.6666666666666667,1.0,1.0,2.3333333333333335,0.0,3.6666666666666665,0.0,3.3333333333333335,0.0,4.0,0.0,1.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,1.3333333333333333,1.6666666666666667,0.6666666666666666,0.6666666666666666,4.0,0.0,4.0,0.0
Giannina,Platanias,H,3.0,1.0,12.0,10.0,6.0,4.0,6.0,2.0,2.0,3.0,0.0,1.0,1.8,3.4,4.75,2.5,1.48,1,1,2,1,1.0,1.0,0.5,2.0,3.5,0.0,3.3333333333333335,0.0,3.3333333333333335,0.3333333333333333,4.0,0.0,0.5,0.5,1.0,0.5,0.25,1.5,0.5,1.0,3.0,0.0,4.0,1.0
Panionios,Olympiakos,A,3.0,4.0,12.0,17.0,7.0,11.0,3.0,8.0,3.0,3.0,0.0,0.0,7.5,4.33,1.44,2.07,1.71,7,2,4,4,2.3333333333333335,1.3333333333333333,1.3333333333333333,1.3333333333333333,2.0,0.0,2.6666666666666665,0.6666666666666666,2.0,0.0,4.333333333333333,0.6666666666666666,2.3333333333333335,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.6666666666666667,1.0,1.3333333333333333,1.3333333333333333,3.0,1.0,1.0,0.0
Apollon,Kerkyra,D,0.0,0.0,10.0,7.0,3.0,3.0,5.0,4.0,3.0,3.0,0.0,1.0,1.95,3.25,4.1,2.64,1.44,0,1,1,3,0.5,0.25,1.0,0.5,3.5,1.0,3.0,0.0,2.6666666666666665,0.3333333333333333,3.0,0.0,0.0,0.5,1.5,0.5,0.5,1.0,1.5,0.5,4.0,0.0,3.0,1.0
Panetolikos,Levadeiakos,A,0.0,1.0,24.0,4.0,11.0,2.0,9.0,3.0,2.0,2.0,0.0,0.0,1.83,3.25,4.75,2.51,1.48,4,2,1,1,2.0,1.0,2.0,1.0,4.0,0.0,4.0,0.0,1.6666666666666667,0.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,4.0,0.0,1.0,0.0
PAOK,Lamia,H,4.0,0.0,13.0,4.0,5.0,1.0,3.0,1.0,3.0,2.0,0.0,1.0,1.14,7.5,17.0,1.6,2.24,5,1,3,4,3.0,1.0,1.0,1.3333333333333333,1.0,0.0,4.0,0.3333333333333333,4.0,0.0,2.3333333333333335,0.0,1.6666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.3333333333333333,1.0,5.0,1.0,4.0,0.0
Xanthi,AEK,D,1.0,1.0,5.0,15.0,2.0,5.0,1.0,8.0,6.0,5.0,2.0,0.0,4.2,3.25,1.91,2.54,1.47,1,1,1,2,1.0,2.0,3.0,1.3333333333333333,2.6666666666666665,0.0,3.3333333333333335,0.0,2.0,0.6666666666666666,3.6666666666666665,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.3333333333333333,3.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,2.0,0.0,4.0,0.0
Panathinaikos,Larisa,H,2.0,1.0,17.0,6.0,9.0,2.0,9.0,4.0,5.0,5.0,2.0,0.0,1.22,5.5,15.0,2.14,1.65,3,0,2,12,2.3333333333333335,0.3333333333333333,1.0,0.0,3.0,0.3333333333333333,2.6666666666666665,0.0,2.6666666666666665,0.0,2.0,0.3333333333333333,1.0,0.0,1.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,4.0,0.6666666666666666,3.0,0.0,4.0,0.0
Kerkyra,Panetolikos,H,1.0,0.0,7.0,8.0,3.0,5.0,1.0,5.0,6.0,4.0,0.0,0.0,3.0,3.0,2.5,2.8,1.4,2,4,4,4,1.0,0.6666666666666666,1.3333333333333333,1.0,2.6666666666666665,0.3333333333333333,3.0,0.3333333333333333,3.3333333333333335,0.0,4.0,0.0,0.5,1.0,1.0,0.3333333333333333,1.3333333333333333,1.0,1.0,1.0,3.0,1.0,2.0,0.0
Lamia,Panathinaikos,D,1.0,1.0,6.0,9.0,2.0,5.0,5.0,4.0,5.0,3.0,0.0,0.0,5.0,3.1,1.85,2.73,1.41,1,2,1,4,1.0,1.0,2.5,0.3333333333333333,4.0,0.0,1.3333333333333333,0.3333333333333333,3.3333333333333335,0.6666666666666666,2.6666666666666665,0.0,0.3333333333333333,0.6666666666666666,2.0,0.75,1.25,0.25,1.3333333333333333,0.3333333333333333,2.0,1.0,5.0,2.0
