HomeTeam,AwayTeam,FTR,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25,HomeGoalsScoredHome,HomeGoalsConcededHome,AwayGoalsScoredAway,AwayGoalsConcededAway,APHH,APHA,APAH,APAA,AHHY,AHR,AHAYY,AHAR,AAHHY,AAHR,AAAYY,AAAR,AHHG,AHAG,TAHG,TAAG,AAHG,AAAG,AHHG_AWAY,AHAG_AWAY,Last_Home_Yellow,Last_Home_Red,Last_Away_Yellow,Last_Away_Red
Benevento,Bologna,A,0,1,15,14,5,4,6,2,1,3,0,0,2.7,3.2,2.75,2.18,1.67,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0
Genoa,Juventus,A,2,4,9,17,3,7,1,4,4,3,0,0,9.0,4.5,1.4,1.84,1.96,0,0,0,0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
Roma,Inter,A,1,3,18,14,3,8,12,6,1,1,0,0,2.3,3.5,3.0,1.63,2.26,0,0,0,0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Chievo,Lazio,A,1,2,13,13,5,3,9,6,1,1,0,0,3.5,3.2,2.2,2.0,1.81,0,0,0,0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
Crotone,Verona,D,0,0,13,5,4,0,1,3,1,3,0,0,2.5,3.2,2.88,2.19,1.67,0,3,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,2.0,0.0
Fiorentina,Sampdoria,A,1,2,25,12,10,5,14,7,3,4,0,0,1.8,3.5,4.5,1.76,2.05,0,0,0,0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
Milan,Cagliari,H,2,1,15,14,5,4,2,6,2,1,0,0,1.22,6.5,13.0,1.48,2.58,0,0,0,3,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0
Napoli,Atalanta,H,3,1,10,14,4,2,9,6,1,2,0,0,1.4,4.75,8.0,1.56,2.4,0,0,0,0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0
Spal,Udinese,H,3,2,10,11,4,3,0,7,3,1,0,0,2.5,3.1,2.9,2.19,1.67,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0
Torino,Sassuolo,H,3,0,14,19,5,2,5,11,1,1,0,0,1.75,3.6,5.0,1.72,2.12,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
Juventus,Chievo,H,3,0,15,15,4,2,10,6,2,1,0,0,1.17,7.5,17.0,1.62,2.28,3,0,2,1,3.0,3.0,0.0,3.0,1.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,2.0,4.0,1.0,2.0,1.0,2.0,3.0,0.0,1.0,0.0
Atalanta,Sassuolo,H,2,1,9,16,3,3,3,7,0,1,0,0,1.55,4.0,6.5,1.8,2.01,0,1,0,3,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0
Benevento,Torino,A,0,1,15,16,5,6,2,10,2,2,0,0,4.33,3.75,1.83,1.71,2.12,0,1,1,1,0.0,0.0,3.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
Bologna,Napoli,A,0,3,5,17,2,7,5,7,5,1,0,0,10.0,5.0,1.33,1.6,2.31,1,1,3,1,1.0,3.0,3.0,3.0,2.0,0.0,3.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,3.0,3.0,0.0,1.0,0.0
Cagliari,Crotone,H,1,0,13,9,4,2,6,4,2,1,0,0,1.67,3.75,5.5,1.86,1.94,0,0,0,0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.5,0.0,0.0,0.0,0.0,2.5,0.5,0.0,1.5,0.0,0.0,1.0,0.0,1.0,0.0
Inter,Spal,H,2,0,19,9,7,1,8,5,2,2,0,0,1.25,6.0,13.0,1.48,2.61,3,0,0,0,3.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,1.0,3.0,3.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0
