HomeTeam,AwayTeam,FTR,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25,HomeGoalsScoredHome,HomeGoalsConcededHome,AwayGoalsScoredAway,AwayGoalsConcededAway,APHH,APHA,APAH,APAA,AHHY,AHR,AHAYY,AHAR,AAHHY,AAHR,AAAYY,AAAR,AHHG,AHAG,TAHG,TAAG,AAHG,AAAG,AHHG_AWAY,AHAG_AWAY,Last_Home_Yellow,Last_Home_Red,Last_Away_Yellow,Last_Away_Red
Roda,Vitesse,A,1,3,15,10,4,4,5,9,1,2,0,0,3.6,3.75,1.91,1.74,2.08,0,0,0,0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
AZ Alkmaar,Den Haag,H,2,0,32,6,9,1,8,8,2,3,0,1,1.36,5.0,7.5,1.44,2.67,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,3.0,0.0,0.0,3.0,0.0,2.0,0.0
Heerenveen,Heracles,D,1,1,19,7,6,3,10,3,3,0,0,0,1.62,4.0,5.25,1.48,2.53,0,0,0,0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0
Twente,VVV Venlo,A,1,2,11,9,4,5,3,6,2,2,0,0,1.73,3.8,4.5,1.67,2.13,0,0,0,0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Ajax,Groningen,H,3,1,27,7,7,2,12,2,0,3,0,0,1.25,5.5,12.0,1.39,2.88,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0
Excelsior,Feyenoord,A,0,1,7,11,4,3,3,6,1,2,0,0,8.0,4.5,1.4,1.52,2.42,0,0,0,0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0
NAC Breda,PSV Eindhoven,A,1,4,9,26,4,9,6,8,3,1,0,0,10.0,5.25,1.29,1.44,2.67,0,0,0,0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
Sparta Rotterdam,Zwolle,D,1,1,7,12,4,4,1,9,4,3,0,0,2.55,3.3,2.7,1.71,2.1,0,0,0,0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0
Utrecht,Willem II,H,2,0,9,4,5,1,3,4,0,2,0,0,1.5,3.9,7.0,1.82,1.97,0,0,0,0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0
NAC Breda,Sparta Rotterdam,D,2,2,11,10,7,3,9,6,4,2,0,0,2.3,3.4,3.0,1.78,2.02,1,4,0,3,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,4.0,0.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,4.0,0.0
Den Haag,Heerenveen,A,1,2,13,16,1,9,5,7,1,2,0,0,3.2,3.4,2.2,1.67,2.15,0,3,3,3,0.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,3.0,0.0,2.0,0.0,0.0,3.0,2.0,0.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,0.0
Heracles,Excelsior,D,2,2,18,11,6,5,3,4,1,2,0,1,2.05,3.5,3.4,1.62,2.23,2,1,2,1,3.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0
Vitesse,AZ Alkmaar,A,1,2,16,27,4,9,4,7,1,3,0,0,2.1,3.4,3.4,1.58,2.32,4,1,2,3,3.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,4.0,1.0,1.0,3.0,2.0,0.0,3.0,2.0,2.0,0.0,2.0,0.0
Zwolle,Twente,H,2,0,16,10,4,3,4,5,2,3,0,0,2.05,3.5,3.4,1.62,2.24,4,2,1,2,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,4.0,0.0,4.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,0.0,2.0,0.0
Feyenoord,Willem II,H,5,0,16,4,8,1,11,1,0,1,0,0,1.2,6.5,13.0,1.41,2.79,2,1,0,2,3.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0
