HomeTeam,AwayTeam,FTR,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25,HomeGoalsScoredHome,HomeGoalsConcededHome,AwayGoalsScoredAway,AwayGoalsConcededAway,APHH,APHA,APAH,APAA,AHHY,AHR,AHAYY,AHAR,AAHHY,AAHR,AAAYY,AAAR,AHHG,AHAG,TAHG,TAAG,AAHG,AAAG,AHHG_AWAY,AHAG_AWAY,Last_Home_Yellow,Last_Home_Red,Last_Away_Yellow,Last_Away_Red
Betis,Celta,H,2,1,10,9,3,2,4,6,2,2,0,0,2.2,3.4,3.4,1.97,1.85,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0
Sociedad,Villarreal,H,3,0,15,6,9,1,10,4,2,2,0,0,2.05,3.4,3.75,2.07,1.76,0,0,0,1,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0
Alaves,Barcelona,A,0,2,11,23,2,11,1,14,2,3,0,0,10.0,5.75,1.29,1.57,2.38,0,0,0,0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
Girona,Malaga,H,1,0,15,7,4,2,2,3,3,4,0,0,2.15,3.25,3.6,2.2,1.67,2,2,0,0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0
Las Palmas,Ath Madrid,A,1,5,10,8,4,6,4,2,4,1,0,0,4.75,3.75,1.75,2.09,1.74,0,0,2,2,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,4.0,1.0
Levante,La Coruna,D,2,2,24,11,5,4,6,5,0,2,1,0,2.2,3.1,3.6,2.31,1.61,1,0,0,0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,5.0,0.0
Eibar,Ath Bilbao,A,0,1,14,10,5,4,4,3,1,1,1,0,2.5,3.1,3.1,2.2,1.67,0,0,0,0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
Espanol,Leganes,A,0,1,17,12,2,8,9,1,3,3,0,0,1.95,3.25,4.33,2.49,1.53,0,0,0,0,0.0,1.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Getafe,Sevilla,A,0,1,15,6,3,3,7,5,0,1,0,0,3.6,3.3,2.15,1.87,1.93,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0
Real Madrid,Valencia,D,2,2,22,7,6,3,13,4,3,5,0,0,1.17,8.0,15.0,1.22,4.2,0,0,0,0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0
Leganes,Getafe,A,1,2,11,11,7,3,2,4,1,2,0,0,2.05,3.25,4.0,2.41,1.56,1,0,0,0,3.0,3.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0
Barcelona,Espanol,H,5,0,20,9,9,1,8,7,1,5,0,0,1.17,8.0,17.0,1.34,3.19,2,0,1,1,3.0,3.0,0.0,1.0,2.0,0.0,3.0,0.0,3.0,0.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0
Real Madrid,Levante,D,1,1,18,5,10,2,13,3,2,3,1,0,1.05,15.0,34.0,1.17,4.86,2,2,0,0,1.0,3.0,2.0,0.0,3.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,2.0,2.0,0.0,3.0,1.5,1.0,0.0,0.0,3.0,0.0,0.0,1.0
Sevilla,Eibar,H,3,0,12,7,6,2,6,5,1,1,0,0,1.57,4.0,6.0,1.69,2.16,1,1,1,0,1.0,3.0,0.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
