HomeTeam,AwayTeam,FTR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25,FTHG,FTAG,HomeGoalsScoredHome,HomeGoalsConcededHome,AwayGoalsScoredAway,AwayGoalsConcededAway,APHH,APHA,APAH,APAA
Charleroi,Kortrijk,H,1.62,3.75,5.5,1.92,1.84,1,0,0,0,0,0,0.0,0.0,0.0,0.0
Eupen,Waregem,A,2.6,3.4,2.6,1.72,2.07,0,5,0,0,0,0,0.0,0.0,0.0,0.0
Genk,Waasland-Beveren,D,1.4,4.75,7.0,1.64,2.16,3,3,0,0,0,0,0.0,0.0,0.0,0.0
Lokeren,Club Brugge,A,4.2,3.6,1.83,1.83,1.93,0,4,0,0,0,0,0.0,0.0,0.0,0.0
Mechelen,Standard,D,2.6,3.4,2.6,1.84,1.92,1,1,0,0,0,0,0.0,0.0,0.0,0.0
Oostende,Mouscron,A,1.5,4.33,6.0,1.67,2.14,0,1,0,0,0,0,0.0,0.0,0.0,0.0
St Truiden,Gent,H,3.0,3.4,2.3,2.06,1.72,3,2,0,0,0,0,0.0,0.0,0.0,0.0
Standard,Genk,H,2.2,3.3,3.25,1.93,1.86,2,1,0,0,0,0,0.0,1.0,1.0,0.0
Kortrijk,Lokeren,H,2.05,3.4,3.5,1.88,1.89,1,0,0,0,0,0,0.0,0.0,0.0,0.0
Mouscron,Charleroi,A,3.3,3.25,2.2,2.12,1.68,2,5,0,0,0,0,0.0,3.0,3.0,0.0
Waasland-Beveren,Mechelen,D,2.45,3.4,2.75,1.92,1.85,2,2,0,0,0,0,0.0,1.0,1.0,0.0
Waregem,St Truiden,H,1.75,3.75,4.33,1.83,1.94,2,0,0,0,0,0,0.0,3.0,3.0,0.0
Anderlecht,Oostende,H,1.4,4.5,8.0,1.56,2.34,1,0,0,0,0,0,0.0,1.0,0.0,0.0
Club Brugge,Eupen,H,1.22,5.75,13.0,1.41,2.75,3,1,0,0,0,0,0.0,3.0,0.0,0.0
Gent,Antwerp,A,1.44,4.2,7.5,1.81,1.96,0,1,0,0,0,0,0.0,0.0,1.0,0.0
Waregem,Club Brugge,A,3.3,3.4,2.15,1.68,2.14,1,2,2,0,4,0,3.0,3.0,3.0,3.0
Eupen,Kortrijk,A,2.1,3.5,3.3,1.73,2.06,1,2,0,5,0,1,0.0,0.0,3.0,0.0
Lokeren,Mouscron,A,1.8,3.75,4.2,1.95,1.81,0,2,0,4,1,0,0.0,0.0,0.0,3.0
Mechelen,Gent,D,3.1,3.25,2.3,1.92,1.84,1,1,1,1,2,3,1.0,1.0,0.0,0.0
Oostende,Waasland-Beveren,A,1.73,3.6,4.75,1.61,2.24,0,3,0,1,3,3,0.0,0.0,1.0,1.0
Antwerp,Genk,A,3.3,3.4,2.15,1.93,1.83,3,5,0,0,1,2,1.0,3.0,1.0,0.0
Charleroi,Anderlecht,H,4.2,3.5,1.85,1.99,1.78,2,0,1,0,0,0,3.0,3.0,3.0,1.0
St Truiden,Standard,H,3.5,3.3,2.1,2.0,1.77,1,0,3,2,1,1,3.0,0.0,3.0,1.0
Standard,Waregem,A,1.67,4.0,4.75,1.71,2.11,0,4,2,1,5,0,3.0,0.5,1.5,3.0
Eupen,Oostende,H,2.8,3.5,2.38,1.61,2.25,2,1,1,7,0,1,0.0,0.0,0.0,0.0
Genk,Charleroi,A,1.85,3.6,4.0,1.98,1.8,0,1,3,3,5,2,1.0,1.5,3.0,3.0
Mechelen,Antwerp,A,2.0,3.4,3.75,1.87,1.9,1,2,2,2,1,0,1.0,1.0,0.5,3.0
Waasland-Beveren,Lokeren,A,1.95,3.5,3.75,1.95,1.82,2,3,2,2,0,1,1.0,2.0,0.0,0.0
Anderlecht,St Truiden,A,1.29,5.5,9.5,1.61,2.24,2,3,1,0,0,2,3.0,0.5,3.0,0.0
