HomeTeam,AwayTeam,FTR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25,FTHG,FTAG,HomeGoalsScoredHome,HomeGoalsConcededHome,AwayGoalsScoredAway,AwayGoalsConcededAway,APHH,APHA,APAH,APAA
Hamburg,Augsburg,H,2.1,3.4,3.6,2.18,1.68,1,0,0,0,0,0,0.0,0.0,0.0,0.0
Hertha,Stuttgart,H,2.0,3.4,3.9,1.94,1.87,2,0,0,0,0,0,0.0,0.0,0.0,0.0
Hoffenheim,Werder Bremen,H,1.75,4.0,4.33,1.52,2.5,1,0,0,0,0,0,0.0,0.0,0.0,0.0
Mainz,Hannover,A,2.0,3.4,4.0,2.06,1.76,0,1,0,0,0,0,0.0,0.0,0.0,0.0
Schalke 04,RB Leipzig,H,2.8,3.4,2.5,1.88,1.92,2,0,0,0,0,0,0.0,0.0,0.0,0.0
Wolfsburg,Dortmund,A,3.8,4.0,1.85,1.54,2.46,0,3,0,0,0,0,0.0,0.0,0.0,0.0
Freiburg,Ein Frankfurt,D,2.45,3.25,3.0,2.15,1.7,0,0,0,0,0,0,0.0,0.0,0.0,0.0
M'gladbach,FC Koln,H,1.91,3.5,4.1,1.91,1.91,1,0,0,0,0,0,0.0,0.0,0.0,0.0
FC Koln,Hamburg,A,1.95,3.4,4.0,2.06,1.76,1,3,0,0,0,0,0.0,0.0,3.0,0.0
Augsburg,M'gladbach,D,3.25,3.4,2.25,2.08,1.75,2,2,0,0,0,0,0.0,0.0,3.0,0.0
Dortmund,Hertha,H,1.36,5.0,7.5,1.53,2.49,2,0,0,0,0,0,0.0,3.0,3.0,0.0
Ein Frankfurt,Wolfsburg,A,2.3,3.25,3.3,2.12,1.72,0,1,0,0,0,0,0.0,1.0,0.0,0.0
Leverkusen,Hoffenheim,D,2.05,3.6,3.6,1.6,2.34,2,2,0,0,0,0,0.0,0.0,3.0,0.0
Stuttgart,Mainz,H,2.3,3.4,3.1,1.8,2.01,1,0,0,0,0,0,0.0,0.0,0.0,0.0
Werder Bremen,Bayern Munich,A,11.0,6.5,1.25,1.37,3.02,0,2,0,0,0,0,0.0,0.0,3.0,0.0
Hannover,Schalke 04,H,3.3,3.4,2.2,1.86,1.95,1,0,0,0,0,0,0.0,3.0,3.0,0.0
RB Leipzig,Freiburg,H,1.36,5.0,8.5,1.69,2.16,4,1,0,0,0,0,0.0,0.0,1.0,0.0
