HomeTeam,AwayTeam,FTR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25,FTHG,FTAG,HomeGoalsScoredHome,HomeGoalsConcededHome,AwayGoalsScoredAway,AwayGoalsConcededAway,APHH,APHA,APAH,APAA
Sunderland,Derby,D,2.7,3.25,2.88,2.2,1.66,1,1,0,0,0,0,0.0,0.0,0.0,0.0
Aston Villa,Hull,D,2.1,3.4,4.0,2.28,1.6,1,1,0,0,0,0,0.0,0.0,0.0,0.0
Bristol City,Barnsley,H,1.83,3.75,4.75,1.78,2.01,3,1,0,0,0,0,0.0,0.0,0.0,0.0
Burton,Cardiff,A,3.1,3.3,2.5,2.24,1.62,0,1,0,0,0,0,0.0,0.0,0.0,0.0
Fulham,Norwich,D,2.05,3.75,3.75,1.69,2.13,1,1,0,0,0,0,0.0,0.0,0.0,0.0
Ipswich,Birmingham,H,2.5,3.4,3.0,2.18,1.65,1,0,0,0,0,0,0.0,0.0,0.0,0.0
Preston,Sheffield Weds,H,3.0,3.2,2.63,2.16,1.66,1,0,0,0,0,0,0.0,0.0,0.0,0.0
QPR,Reading,H,2.5,3.4,3.0,1.99,1.79,2,0,0,0,0,0,0.0,0.0,0.0,0.0
Sheffield United,Brentford,H,2.2,4.0,3.1,1.74,2.05,1,0,0,0,0,0,0.0,0.0,0.0,0.0
Wolves,Middlesbrough,H,2.7,3.25,2.88,2.23,1.62,1,0,0,0,0,0,0.0,0.0,0.0,0.0
Bolton,Leeds,A,3.0,3.4,2.5,2.14,1.68,2,3,0,0,0,0,0.0,0.0,0.0,0.0
Barnsley,Ipswich,A,2.55,3.3,3.0,2.06,1.74,1,2,0,0,0,0,0.0,0.0,3.0,0.0
Birmingham,Bristol City,H,2.55,3.5,2.9,1.99,1.8,2,1,0,0,0,0,0.0,0.0,3.0,0.0
Brentford,Nott'm Forest,A,1.85,3.75,4.5,1.66,2.18,3,4,0,0,0,0,0.0,0.0,3.0,0.0
Cardiff,Aston Villa,H,2.7,3.2,2.9,2.37,1.56,3,0,0,0,0,0,0.0,3.0,1.0,0.0
Derby,Wolves,A,2.4,3.25,3.3,2.44,1.52,0,2,0,0,0,0,0.0,1.0,3.0,0.0
Hull,Burton,H,1.67,3.8,6.0,2.03,1.76,4,1,0,0,0,0,0.0,1.0,0.0,0.0
Leeds,Preston,D,2.05,3.5,4.0,2.09,1.71,0,0,0,0,0,0,0.0,3.0,3.0,0.0
Middlesbrough,Sheffield United,H,1.91,3.5,4.75,2.19,1.65,1,0,0,0,0,0,0.0,0.0,3.0,0.0
Millwall,Bolton,D,2.1,3.4,4.0,2.05,1.74,1,1,0,0,0,0,0.0,0.0,0.0,0.0
Reading,Fulham,D,3.75,3.75,2.05,1.64,2.2,1,1,0,0,0,0,0.0,0.0,1.0,0.0
Sheffield Weds,QPR,D,1.83,3.6,5.0,2.03,1.76,1,1,0,0,0,0,0.0,0.0,3.0,0.0
