HomeTeam,AwayTeam,FTR,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25
Bradford,Blackpool,H,2,1,15,9,4,3,3,3,1,2,0,0,1.62,4.0,6.5,2.19,1.64
Bury,Walsall,H,1,0,11,5,7,2,3,5,2,1,0,0,2.05,3.5,3.9,1.98,1.79
Charlton,Bristol Rvs,H,1,0,9,14,2,3,6,9,0,1,1,0,2.3,3.5,3.25,1.88,1.89
Doncaster,Gillingham,D,0,0,16,5,7,3,10,4,0,1,0,0,1.8,3.75,5.0,1.88,1.88
Fleetwood Town,Rotherham,H,2,0,9,8,3,2,0,6,2,1,0,0,2.3,3.5,3.25,2.04,1.75
Milton Keynes Dons,Wigan,A,0,1,6,14,1,6,2,2,2,3,1,1,2.45,3.3,3.2,2.12,1.68
Oldham,Oxford,A,0,2,9,12,2,7,9,2,1,2,0,0,2.9,3.4,2.6,2.41,1.53
Peterboro,Plymouth,H,2,1,17,16,8,6,2,11,2,2,0,0,2.1,3.6,3.75,1.94,1.83
Portsmouth,Rochdale,H,2,0,11,8,3,1,4,5,0,0,1,1,2.0,3.6,4.0,1.94,1.83
Scunthorpe,AFC Wimbledon,D,1,1,12,15,6,4,1,7,0,1,0,0,2.0,3.5,4.1,2.04,1.74
Shrewsbury,Northampton,H,1,0,12,5,2,1,7,4,2,1,0,0,2.5,3.4,3.0,2.03,1.75
Southend,Blackburn,H,2,1,15,7,7,2,6,3,0,3,0,0,2.9,3.4,2.6,2.06,1.73
AFC Wimbledon,Shrewsbury,A,0,1,6,14,2,5,2,4,2,2,0,0,2.0,3.4,4.33,2.27,1.6
Blackburn,Doncaster,A,1,3,11,11,4,4,5,3,2,0,0,0,1.91,3.75,4.33,1.97,1.81
Blackpool,Milton Keynes Dons,H,1,0,11,13,6,2,4,10,0,0,0,0,3.0,3.6,2.4,2.1,1.71
Bristol Rvs,Peterboro,A,1,4,20,16,7,6,6,4,1,2,0,0,2.05,3.6,3.8,1.74,2.05
Gillingham,Bradford,A,0,1,11,10,2,5,4,5,2,3,1,0,4.0,3.6,2.0,2.03,1.75
Northampton,Fleetwood Town,A,0,1,12,11,4,4,6,4,0,2,0,0,2.8,3.4,2.7,2.08,1.72
Oxford,Portsmouth,H,3,0,11,7,5,3,4,7,0,0,0,0,2.5,3.4,3.0,2.12,1.69
Plymouth,Charlton,H,2,0,14,14,4,7,5,5,1,0,0,0,2.63,3.4,2.88,2.06,1.74
Rochdale,Scunthorpe,D,1,1,14,9,4,5,10,2,0,0,0,0,2.25,3.5,3.4,1.89,1.88
Rotherham,Southend,H,5,0,17,10,10,3,5,3,2,1,0,0,2.5,3.4,3.0,2.01,1.76
Walsall,Oldham,H,2,1,16,10,5,6,8,4,2,3,0,0,2.25,3.25,3.6,2.5,1.5
Wigan,Bury,H,4,1,11,5,6,3,5,3,1,4,0,0,2.0,3.6,4.0,2.05,1.72
Bradford,Blackburn,A,0,1,9,9,2,4,1,4,4,2,0,0,2.38,3.3,3.3,2.28,1.59
Bury,Bristol Rvs,A,2,3,9,26,5,13,3,6,0,0,0,0,2.5,3.4,3.0,1.85,1.93
Charlton,Northampton,H,4,1,19,7,9,4,6,2,2,2,0,0,1.91,3.6,4.5,1.91,1.87
Doncaster,Blackpool,D,3,3,7,7,2,4,4,1,1,1,0,0,1.91,3.6,4.5,2.03,1.76
Fleetwood Town,AFC Wimbledon,H,2,0,4,9,2,1,4,8,2,1,0,0,2.0,3.4,4.33,2.25,1.61
Milton Keynes Dons,Gillingham,H,1,0,15,13,5,1,6,3,1,2,0,0,1.67,3.8,6.0,1.85,1.92
Oldham,Wigan,A,0,2,4,13,2,4,6,6,2,2,0,0,4.33,3.4,2.0,2.41,1.53
Peterboro,Rotherham,H,2,1,13,13,6,2,4,8,1,3,0,0,2.38,3.5,3.1,1.71,2.08
Portsmouth,Walsall,D,1,1,13,7,2,2,4,3,1,4,0,0,1.73,3.8,5.5,2.05,1.74
Scunthorpe,Oxford,H,1,0,17,13,5,4,7,2,1,2,0,0,2.5,3.4,3.0,1.97,1.8
Shrewsbury,Rochdale,H,3,2,14,16,10,6,3,7,0,2,0,0,2.6,3.3,3.0,1.99,1.79
Southend,Plymouth,D,1,1,16,10,3,4,16,5,1,2,0,0,2.05,3.6,3.8,1.96,1.8
AFC Wimbledon,Doncaster,H,2,0,6,6,3,2,3,4,1,3,0,0,2.75,3.4,2.75,2.06,1.74
Blackburn,Milton Keynes Dons,H,4,1,8,9,5,3,2,2,1,1,0,0,2.05,3.5,4.0,1.95,1.84
Blackpool,Oldham,H,2,1,16,9,4,3,8,7,1,1,0,0,2.3,3.2,3.6,2.45,1.52
Bristol Rvs,Fleetwood Town,H,3,1,12,11,7,4,6,8,1,0,0,0,2.05,3.6,3.8,2.04,1.75
Gillingham,Southend,D,3,3,13,22,6,9,6,6,3,3,0,0,3.5,3.5,2.2,1.76,2.04
Northampton,Peterboro,A,1,4,9,12,3,5,4,2,1,1,0,0,2.6,3.4,2.88,1.74,2.05
Oxford,Shrewsbury,D,1,1,9,10,6,3,2,7,0,0,0,0,2.0,3.6,4.0,1.99,1.79
Plymouth,Scunthorpe,A,0,4,14,16,5,9,4,7,0,4,1,0,2.9,3.4,2.6,1.87,1.91
Rochdale,Bury,D,0,0,9,2,2,1,3,1,2,1,0,1,2.05,3.6,3.8,1.76,2.03
Rotherham,Charlton,A,0,2,10,13,5,5,5,7,3,2,0,0,2.45,3.5,3.0,1.83,1.95
Walsall,Bradford,D,3,3,14,9,7,4,11,3,0,3,0,0,3.75,3.3,2.2,2.34,1.57
Wigan,Portsmouth,D,1,1,18,5,9,2,4,4,0,3,1,1,2.0,3.5,4.2,2.08,1.72
Blackpool,AFC Wimbledon,H,1,0,18,4,9,1,7,4,1,3,0,1,2.4,3.3,3.25,2.19,1.65
Bradford,Bristol Rvs,H,3,1,20,11,8,4,12,4,1,0,0,0,2.4,3.5,3.1,1.92,1.86
Bury,Scunthorpe,A,0,1,11,11,1,4,7,4,1,3,0,0,3.0,3.4,2.5,1.93,1.85
Doncaster,Peterboro,D,0,0,12,11,5,3,8,4,2,3,0,0,2.1,3.75,3.5,1.72,2.08
Gillingham,Shrewsbury,A,1,2,14,9,6,6,5,5,1,1,0,0,3.1,3.5,2.4,1.95,1.84
Milton Keynes Dons,Oxford,D,1,1,15,10,2,6,3,3,1,2,0,0,2.5,3.4,3.0,1.99,1.79
Oldham,Charlton,A,3,4,10,16,4,8,5,5,5,3,1,0,4.0,3.4,2.1,2.15,1.67
Southend,Rochdale,D,0,0,17,4,4,1,7,5,3,3,0,1,2.15,3.5,3.6,1.87,1.91
Walsall,Plymouth,H,2,1,11,13,4,2,7,10,1,1,0,0,2.15,3.4,3.75,2.06,1.74
Portsmouth,Rotherham,A,0,1,13,12,2,5,8,4,1,3,0,0,2.1,3.6,3.75,1.85,1.93
AFC Wimbledon,Portsmouth,A,0,2,4,10,0,5,0,6,0,3,0,0,2.88,3.4,2.63,2.3,1.59
Bristol Rvs,Walsall,H,2,1,11,13,4,6,4,9,5,4,1,0,1.95,3.6,4.2,1.83,1.95
Charlton,Southend,H,2,1,17,13,6,1,8,7,2,2,0,0,2.3,3.5,3.25,1.79,2.0
Fleetwood Town,Oldham,D,2,2,13,7,2,2,6,6,1,3,0,0,1.75,3.6,5.75,2.27,1.61
Northampton,Doncaster,H,1,0,8,14,1,4,3,9,0,1,0,0,3.1,3.4,2.45,1.93,1.85
Oxford,Gillingham,H,3,0,24,9,14,2,4,2,0,0,0,0,1.65,4.2,5.5,1.77,2.02
Peterboro,Bradford,A,1,3,20,9,8,4,8,7,3,3,1,1,2.5,3.6,2.9,1.82,1.97
Plymouth,Milton Keynes Dons,A,0,1,12,11,2,3,5,1,3,4,1,0,2.9,3.5,2.55,1.96,1.82
Rochdale,Blackburn,A,0,3,10,16,0,7,7,6,0,1,0,0,2.9,3.5,2.55,2.09,1.72
Rotherham,Bury,H,3,2,20,7,10,4,6,3,0,2,0,0,1.85,3.75,4.5,1.86,1.93
Scunthorpe,Blackpool,D,0,0,17,10,6,3,5,4,1,2,0,0,2.0,3.6,4.0,1.98,1.81
Shrewsbury,Wigan,H,1,0,9,12,4,4,5,3,3,3,0,0,3.75,3.5,2.1,2.16,1.67
AFC Wimbledon,Gillingham,D,1,1,23,8,9,5,14,7,3,3,0,1,1.95,3.6,4.2,1.99,1.79
Bristol Rvs,Oldham,A,2,3,13,10,4,3,9,4,1,2,0,0,1.75,3.9,5.0,1.88,1.9
Charlton,Wigan,A,0,3,11,24,2,12,4,10,3,3,0,0,2.75,3.4,2.75,1.99,1.79
Fleetwood Town,Bury,H,3,2,11,13,6,5,2,2,2,2,0,0,1.95,3.6,4.33,2.02,1.76
Northampton,Portsmouth,H,3,1,4,21,3,9,3,7,0,3,0,0,3.1,3.4,2.45,2.09,1.71
Oxford,Bradford,D,2,2,10,6,5,2,0,1,1,0,0,0,2.45,3.4,3.1,1.98,1.8
Peterboro,Milton Keynes Dons,H,2,0,21,12,12,7,8,6,0,0,0,0,2.2,3.7,3.3,1.71,2.1
