HomeTeam,AwayTeam,FTR,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25
Bromley,Eastleigh,D,0,0,0,0,0,0,0,0,1,1,0,0,2.9,3.4,2.38,1.86,1.88
Dag and Red,Barrow,H,2,1,0,0,0,0,0,0,0,3,0,0,2.0,3.4,3.75,1.92,1.84
Fylde,Boreham Wood,D,2,2,0,0,0,0,0,0,1,0,0,0,1.8,3.6,4.33,1.96,1.79
Guiseley,Ebbsfleet,D,2,2,0,0,0,0,0,0,1,1,0,0,3.0,3.2,2.4,2.0,1.76
Halifax,Aldershot,A,0,2,0,0,0,0,0,0,0,4,0,0,2.45,3.3,2.8,2.02,1.74
Hartlepool,Dover Athletic,A,0,1,0,0,0,0,0,0,2,0,0,0,2.1,3.3,3.5,1.9,1.85
Maidstone,Maidenhead,D,1,1,0,0,0,0,0,0,1,1,0,0,2.1,3.3,3.5,1.95,1.8
Sutton,Leyton Orient,H,2,0,0,0,0,0,0,0,2,2,0,0,2.88,3.4,2.38,1.82,1.93
Torquay,Tranmere,D,0,0,0,0,0,0,0,0,3,0,0,2,4.75,3.6,1.75,1.98,1.77
Woking,Gateshead,H,2,1,0,0,0,0,0,0,0,0,0,0,2.55,3.4,2.63,1.85,1.9
Wrexham,Macclesfield,A,0,1,0,0,0,0,0,0,1,0,0,0,2.05,3.5,3.4,2.09,1.69
Aldershot,Torquay,H,3,2,0,0,0,0,0,0,4,3,0,0,1.73,3.8,4.5,2.01,1.75
Barrow,Halifax,D,0,0,0,0,0,0,0,0,1,4,0,0,1.95,3.5,3.7,1.86,1.9
Boreham Wood,Dag and Red,A,1,2,0,0,0,0,0,0,1,1,0,0,2.55,3.5,2.55,2.16,1.64
Chester,Fylde,D,1,1,0,0,0,0,0,0,0,2,0,0,2.38,3.4,2.88,1.73,2.05
Dover Athletic,Bromley,A,1,2,0,0,0,0,0,0,2,3,0,0,2.05,3.4,3.5,1.77,2.0
Eastleigh,Sutton,H,1,0,0,0,0,0,0,0,1,4,0,0,2.3,3.3,3.1,1.96,1.79
Ebbsfleet,Maidstone,H,2,0,0,0,0,0,0,0,2,1,0,1,1.75,3.6,4.75,1.82,1.94
Gateshead,Guiseley,H,1,0,0,0,0,0,0,0,2,3,0,0,1.57,4.0,5.75,1.83,1.93
Leyton Orient,Solihull,H,3,1,0,0,0,0,0,0,1,4,0,0,1.57,4.0,5.5,1.81,1.95
Macclesfield,Hartlepool,D,1,1,0,0,0,0,0,0,1,2,0,0,2.2,3.4,3.2,2.09,1.69
Maidenhead,Wrexham,A,1,2,0,0,0,0,0,0,1,1,0,0,2.15,3.5,3.2,2.07,1.7
Tranmere,Woking,H,3,1,0,0,0,0,0,0,0,3,0,0,1.36,4.75,8.5,1.64,2.16
Aldershot,Guiseley,H,6,0,0,0,0,0,0,0,1,3,0,0,1.57,3.8,6.0,1.87,1.88
Barrow,Woking,H,3,0,0,0,0,0,0,0,2,1,0,0,1.67,3.6,5.25,1.77,1.99
Boreham Wood,Solihull,H,4,1,0,0,0,0,0,0,1,1,0,0,1.7,4.0,4.5,1.96,1.79
Chester,Halifax,D,0,0,0,0,0,0,0,0,1,2,0,0,2.7,3.5,2.45,1.82,1.93
Dover Athletic,Wrexham,H,1,0,0,0,0,0,0,0,3,2,0,0,2.0,3.5,3.4,1.82,1.93
Eastleigh,Dag and Red,D,2,2,0,0,0,0,0,0,2,1,0,0,2.5,3.4,2.7,1.95,1.8
Ebbsfleet,Fylde,D,3,3,0,0,0,0,0,0,2,1,0,0,2.25,3.5,3.0,1.73,2.03
Gateshead,Torquay,H,3,0,0,0,0,0,0,0,0,0,0,0,1.7,3.6,5.0,1.81,1.94
Leyton Orient,Maidstone,H,2,0,0,0,0,0,0,0,1,2,0,0,1.75,3.6,4.75,1.76,2.0
Macclesfield,Bromley,D,0,0,0,0,0,0,0,0,0,1,0,0,2.0,3.4,3.75,1.87,1.88
Maidenhead,Hartlepool,H,2,1,0,0,0,0,0,0,1,1,0,0,2.5,3.3,2.75,1.86,1.89
Tranmere,Sutton,A,0,1,0,0,0,0,0,0,1,5,0,0,1.57,3.8,6.0,1.81,1.93
Bromley,Leyton Orient,H,6,1,0,0,0,0,0,0,3,2,0,0,2.8,3.6,2.3,1.84,1.92
Dag and Red,Ebbsfleet,D,3,3,0,0,0,0,0,0,3,1,0,0,1.91,3.6,3.8,1.73,2.05
Fylde,Maidenhead,A,1,4,0,0,0,0,0,0,3,1,1,0,2.1,3.6,3.2,1.64,2.17
Guiseley,Tranmere,D,0,0,0,0,0,0,0,0,1,2,0,0,5.0,4.0,1.62,1.88,1.88
Halifax,Dover Athletic,A,1,2,0,0,0,0,0,0,2,1,0,0,2.15,3.5,3.2,1.83,1.93
Hartlepool,Chester,D,1,1,0,0,0,0,0,0,3,1,0,0,1.65,3.8,5.0,1.83,1.93
Maidstone,Aldershot,D,1,1,0,0,0,0,0,0,1,2,0,0,4.1,4.0,1.75,1.82,1.94
Solihull,Barrow,D,3,3,0,0,0,0,0,0,2,2,0,1,3.7,3.6,1.85,1.72,2.05
Sutton,Macclesfield,H,2,1,0,0,0,0,0,0,1,0,0,0,1.95,3.75,3.6,1.96,1.8
Torquay,Boreham Wood,A,2,4,0,0,0,0,0,0,1,1,0,0,2.4,3.6,2.7,2.03,1.74
Woking,Eastleigh,H,2,1,0,0,0,0,0,0,3,2,0,0,3.25,3.3,2.2,1.8,1.96
Wrexham,Gateshead,H,1,0,0,0,0,0,0,0,2,2,0,0,2.3,3.5,2.9,1.94,1.82
Boreham Wood,Aldershot,H,2,1,0,0,0,0,0,0,0,0,0,0,2.6,3.4,2.6,1.91,1.85
Bromley,Hartlepool,H,2,0,0,0,0,0,0,0,0,3,0,0,2.3,3.6,2.8,1.93,1.82
Chester,Sutton,A,2,3,0,0,0,0,0,0,0,4,0,0,3.25,3.5,2.1,1.95,1.79
Dover Athletic,Barrow,D,1,1,0,0,0,0,0,0,0,0,0,0,2.1,3.4,3.4,1.77,1.99
Eastleigh,Tranmere,H,2,0,0,0,0,0,0,0,1,1,0,0,2.75,3.6,2.38,2.04,1.73
Fylde,Dag and Red,D,2,2,0,0,0,0,0,0,1,1,0,0,2.8,3.6,2.3,1.59,2.26
Gateshead,Macclesfield,H,3,0,0,0,0,0,0,0,0,1,0,0,2.05,3.4,3.5,2.03,1.73
Guiseley,Torquay,H,3,2,0,0,0,0,0,0,1,0,0,0,2.55,3.4,2.63,1.93,1.83
Maidenhead,Ebbsfleet,D,1,1,0,0,0,0,0,0,0,1,0,0,2.38,3.4,2.88,1.69,2.1
Maidstone,Wrexham,H,2,1,0,0,0,0,0,0,3,2,0,2,2.2,3.4,3.2,1.93,1.81
Solihull,Halifax,A,0,1,0,0,0,0,0,0,5,2,0,0,3.1,3.5,2.2,1.76,2.01
Woking,Leyton Orient,A,0,2,0,0,0,0,0,0,2,5,0,0,2.7,3.5,2.45,1.73,2.05
Macclesfield,Dover Athletic,H,1,0,0,0,0,0,0,0,1,1,0,0,2.63,3.25,2.63,1.99,1.77
Aldershot,Chester,A,1,2,0,0,0,0,0,0,1,3,0,0,1.44,4.5,6.5,1.72,2.05
Barrow,Maidenhead,D,1,1,0,0,0,0,0,0,0,1,0,0,1.85,3.4,4.33,1.76,1.99
Dag and Red,Bromley,H,5,1,0,0,0,0,0,0,1,0,0,0,1.83,3.4,4.5,1.65,2.16
Ebbsfleet,Gateshead,D,0,0,0,0,0,0,0,0,0,1,0,0,2.05,3.4,3.5,1.81,1.94
Halifax,Guiseley,H,2,0,0,0,0,0,0,0,1,1,0,0,1.73,3.6,4.75,1.9,1.85
Hartlepool,Fylde,A,0,2,0,0,0,0,0,0,2,1,0,0,2.1,3.5,3.3,1.62,2.2
Leyton Orient,Eastleigh,D,1,1,0,0,0,0,0,0,0,1,0,0,2.2,3.25,3.3,1.85,1.9
Sutton,Maidstone,A,1,3,0,0,0,0,0,0,2,2,0,0,1.73,3.6,4.75,1.85,1.9
Torquay,Solihull,A,1,2,0,0,0,0,0,0,1,1,0,0,1.95,3.5,3.75,1.71,2.04
