HomeTeam,AwayTeam,FTR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25,FTHG,FTAG,HomeGoalsScoredHome,HomeGoalsConcededHome,AwayGoalsScoredAway,AwayGoalsConcededAway,APHH,APHA,APAH,APAA
Olympiakos,Larisa,H,1.17,7.0,15.0,1.5,2.42,4.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0
Xanthi,Lamia,D,1.67,3.3,6.0,2.62,1.44,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
AEK,Panetolikos,H,1.36,4.5,9.0,2.09,1.7,2.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Kerkyra,Panionios,A,3.75,3.1,2.1,2.64,1.43,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0
Levadeiakos,PAOK,D,6.0,4.0,1.53,1.89,1.85,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Platanias,Panathinaikos,D,4.2,3.1,2.0,2.53,1.48,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0
Atromitos,Apollon,D,1.75,3.25,5.25,2.42,1.52,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0
Lamia,Olympiakos,A,15.0,7.0,1.17,1.72,2.03,0.0,1.0,0,0,0,0,0.0,1.0,3.0,0.0
Panetolikos,Atromitos,D,2.4,3.0,3.2,2.52,1.48,2.0,2.0,0,0,0,0,0.0,0.0,1.0,0.0
Platanias,Xanthi,A,2.3,3.0,3.4,2.71,1.42,0.0,2.0,1,1,0,0,1.0,0.0,1.0,0.0
Giannina,AEK,D,4.0,3.3,1.95,2.18,1.63,0.0,0.0,0,0,0,0,0.0,3.0,3.0,0.0
Panathinaikos,Levadeiakos,D,1.17,7.0,15.0,1.78,1.97,0.0,0.0,0,0,0,0,0.0,1.0,1.0,0.0
Panionios,Apollon,H,1.6,3.3,6.5,2.55,1.47,2.0,0.0,0,0,1,1,0.0,3.0,0.0,1.0
PAOK,Kerkyra,H,1.07,8.5,21.0,1.26,3.53,3.0,1.0,0,0,0,0,0.0,1.0,0.0,0.0
Larisa,Asteras Tripolis,D,2.9,3.0,2.6,2.57,1.47,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0
Asteras Tripolis,Lamia,A,1.55,3.3,8.5,2.68,1.43,1.0,3.0,1,2,0,0,0.0,1.0,0.0,1.0
Atromitos,Giannina,D,2.0,3.1,4.2,2.64,1.44,0.0,0.0,1,1,2,1,1.0,1.0,1.0,3.0
Xanthi,Olympiakos,D,9.0,4.2,1.4,2.34,1.55,1.0,1.0,0,0,1,0,1.0,3.0,3.0,3.0
AEK,Larisa,H,1.2,6.0,15.0,1.78,1.98,4.0,0.0,2,0,1,4,3.0,1.0,1.0,0.0
Kerkyra,Panathinaikos,H,7.0,3.5,1.57,2.35,1.55,1.0,0.0,0,1,1,1,0.0,0.0,1.0,1.0
Levadeiakos,Platanias,D,2.25,3.1,3.3,2.79,1.4,1.0,1.0,0,0,0,0,1.0,1.0,0.5,0.0
Panionios,Panetolikos,D,1.65,3.3,6.5,2.59,1.46,1.0,1.0,2,0,0,2,3.0,3.0,1.0,0.0
Apollon,PAOK,D,10.0,4.33,1.36,2.15,1.64,0.0,0.0,0,0,0,0,0.0,0.5,3.0,1.0
Levadeiakos,Xanthi,H,2.3,3.0,3.4,2.76,1.41,1.0,0.0,1,1,2,0,1.0,1.0,1.0,3.0
Olympiakos,Asteras Tripolis,D,1.22,6.0,13.0,1.57,2.29,1.0,1.0,4,1,1,1,3.0,2.0,0.0,1.0
PAOK,Panetolikos,H,1.17,6.5,19.0,1.67,2.11,1.0,0.0,3,1,1,3,3.0,1.0,1.0,0.5
Lamia,AEK,A,15.0,5.0,1.25,2.48,1.49,0.0,1.0,0,1,0,0,0.0,2.0,3.0,1.0
Larisa,Atromitos,D,3.0,3.0,2.5,2.42,1.52,0.0,0.0,1,1,2,2,1.0,0.0,1.0,1.0
Panathinaikos,Apollon,H,1.25,5.5,12.0,1.88,1.85,1.0,0.0,0,0,1,3,1.0,0.5,1.0,0.5
Platanias,Kerkyra,D,1.67,3.3,6.0,2.56,1.47,0.0,0.0,1,3,1,3,0.5,1.0,1.5,0.0
Giannina,Panionios,D,2.5,3.0,3.0,2.57,1.46,1.0,1.0,0,0,1,0,1.0,2.0,2.0,3.0
Apollon,Platanias,A,2.25,3.0,3.5,2.62,1.45,0.0,1.0,0,0,1,1,1.0,0.3333333333333333,0.6666666666666666,1.0
Atromitos,Lamia,H,1.73,3.1,6.0,2.69,1.43,3.0,0.0,1,1,3,1,1.0,1.0,0.0,2.0
Panetolikos,Panathinaikos,H,3.6,3.1,2.15,2.52,1.48,2.0,0.0,2,2,1,2,1.0,0.3333333333333333,2.0,0.5
AEK,Olympiakos,H,2.3,3.0,3.4,2.36,1.54,3.0,2.0,6,0,2,1,3.0,2.0,2.0,2.0
Kerkyra,Levadeiakos,D,2.5,3.0,3.0,2.58,1.46,1.0,1.0,1,1,0,0,1.5,0.5,1.6666666666666667,1.0
Panionios,Larisa,H,1.62,3.2,7.5,2.33,1.55,4.0,1.0,3,1,1,8,2.0,2.0,1.0,0.0
PAOK,Giannina,H,1.25,5.0,15.0,1.81,1.94,1.0,0.0,4,1,2,1,3.0,1.0,1.0,2.0
Xanthi,Asteras Tripolis,D,2.1,3.1,3.75,2.55,1.47,0.0,0.0,1,1,2,2,1.0,1.5,0.0,1.0
Atromitos,Asteras Tripolis,H,1.85,3.4,4.33,2.4,1.53,1.0,0.0,4,1,2,2,1.6666666666666667,1.6666666666666667,1.0,1.0
Giannina,Platanias,H,1.8,3.4,4.75,2.5,1.48,3.0,1.0,1,1,2,1,1.0,1.0,0.5,2.0
