HomeTeam,AwayTeam,FTR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25,FTHG,FTAG,HomeGoalsScoredHome,HomeGoalsConcededHome,AwayGoalsScoredAway,AwayGoalsConcededAway,APHH,APHA,APAH,APAA
Verona,Napoli,A,8.0,4.75,1.4,1.61,2.29,1,3,0,0,0,0,0.0,0.0,0.0,0.0
Atalanta,Roma,A,3.2,3.3,2.3,1.76,2.06,0,1,0,0,0,0,0.0,0.0,0.0,0.0
Bologna,Torino,D,3.1,3.3,2.38,2.07,1.75,1,1,0,0,0,0,0.0,0.0,0.0,0.0
Crotone,Milan,A,6.0,4.0,1.57,1.75,2.06,0,3,0,0,0,0,0.0,0.0,0.0,0.0
Inter,Fiorentina,H,1.57,4.0,6.0,1.71,2.13,3,0,0,0,0,0,0.0,0.0,0.0,0.0
Lazio,Spal,D,1.29,5.5,11.0,1.67,2.18,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Sampdoria,Benevento,H,1.67,3.75,5.5,1.96,1.85,2,1,0,0,0,0,0.0,0.0,0.0,0.0
Sassuolo,Genoa,D,2.2,3.25,3.5,1.96,1.85,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Udinese,Chievo,A,2.1,3.2,3.8,2.23,1.65,1,2,0,0,0,0,0.0,0.0,0.0,0.0
Benevento,Bologna,A,2.7,3.2,2.75,2.18,1.67,0,1,0,0,0,0,0.0,0.0,1.0,0.0
Genoa,Juventus,A,9.0,4.5,1.4,1.84,1.96,2,4,0,0,0,0,0.0,1.0,3.0,0.0
Roma,Inter,A,2.3,3.5,3.0,1.63,2.26,1,3,0,0,0,0,0.0,3.0,3.0,0.0
Chievo,Lazio,A,3.5,3.2,2.2,2.0,1.81,1,2,0,0,0,0,0.0,3.0,1.0,0.0
Crotone,Verona,D,2.5,3.2,2.88,2.19,1.67,0,0,0,3,0,0,0.0,0.0,0.0,0.0
Fiorentina,Sampdoria,A,1.8,3.5,4.5,1.76,2.05,1,2,0,0,0,0,0.0,0.0,3.0,0.0
Milan,Cagliari,H,1.22,6.5,13.0,1.48,2.58,2,1,0,0,0,3,0.0,3.0,0.0,0.0
Napoli,Atalanta,H,1.4,4.75,8.0,1.56,2.4,3,1,0,0,0,0,0.0,3.0,0.0,0.0
Spal,Udinese,H,2.5,3.1,2.9,2.19,1.67,3,2,0,0,0,0,0.0,1.0,0.0,0.0
Torino,Sassuolo,H,1.75,3.6,5.0,1.72,2.12,3,0,0,0,0,0,0.0,1.0,1.0,0.0
Juventus,Chievo,H,1.17,7.5,17.0,1.62,2.28,3,0,3,0,2,1,3.0,3.0,0.0,3.0
Atalanta,Sassuolo,H,1.55,4.0,6.5,1.8,2.01,2,1,0,1,0,3,0.0,0.0,1.0,0.0
Benevento,Torino,A,4.33,3.75,1.83,1.71,2.12,0,1,0,1,1,1,0.0,0.0,3.0,1.0
Bologna,Napoli,A,10.0,5.0,1.33,1.6,2.31,0,3,1,1,3,1,1.0,3.0,3.0,3.0
Cagliari,Crotone,H,1.67,3.75,5.5,1.86,1.94,1,0,0,0,0,0,0.0,0.0,0.5,0.0
Inter,Spal,H,1.25,6.0,13.0,1.48,2.61,2,0,3,0,0,0,3.0,3.0,3.0,1.0
Lazio,Milan,H,2.45,3.4,2.9,1.76,2.05,4,1,0,0,3,0,1.0,3.0,3.0,3.0
Udinese,Genoa,H,2.38,3.2,3.2,2.08,1.74,1,0,1,2,0,0,0.0,0.0,0.0,1.0
Verona,Fiorentina,A,3.4,3.3,2.2,1.91,1.89,0,5,1,3,0,3,0.0,1.0,0.0,0.0
