HomeTeam,AwayTeam,FTR,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25
Parma,Cremonese,H,1,0,11.0,6.0,2.0,1.0,4.0,6.0,2.0,2.0,0.0,0.0,1.91,3.3,4.2,2.23,1.62
Avellino,Brescia,H,2,1,8.0,12.0,6.0,9.0,6.0,7.0,3.0,5.0,0.0,1.0,2.05,3.2,3.8,2.13,1.69
Carpi,Novara,H,1,0,7.0,7.0,2.0,4.0,5.0,6.0,3.0,2.0,0.0,0.0,2.1,3.1,3.8,2.46,1.51
Cittadella,Ascoli,H,3,2,14.0,9.0,7.0,5.0,6.0,3.0,2.0,3.0,0.0,0.0,1.85,3.2,4.75,1.98,1.79
Palermo,Spezia,H,2,0,12.0,8.0,4.0,3.0,5.0,6.0,2.0,2.0,0.0,0.0,1.91,3.3,4.2,2.16,1.66
Pro Vercelli,Frosinone,A,0,2,6.0,8.0,1.0,4.0,4.0,6.0,2.0,0.0,0.0,1.0,3.3,3.1,2.3,2.24,1.6
Ternana,Empoli,D,1,1,17.0,12.0,6.0,4.0,7.0,5.0,3.0,2.0,0.0,0.0,3.6,3.1,2.15,2.22,1.61
Venezia,Salernitana,D,0,0,6.0,4.0,2.0,2.0,5.0,7.0,3.0,2.0,0.0,0.0,2.38,3.1,3.1,2.39,1.54
Virtus Entella,Perugia,A,1,5,7.0,14.0,2.0,10.0,7.0,3.0,2.0,0.0,0.0,1.0,2.4,3.1,3.1,2.4,1.53
Pescara,Foggia,H,5,1,14.0,22.0,9.0,11.0,4.0,7.0,2.0,1.0,0.0,0.0,1.8,3.6,4.33,1.53,2.41
Bari,Cesena,H,3,0,12.0,2.0,6.0,1.0,8.0,6.0,1.0,2.0,0.0,0.0,2.0,3.2,4.0,2.23,1.61
Brescia,Palermo,D,0,0,7.0,5.0,3.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,2.15,3.2,3.5,2.17,1.65
Ascoli,Pro Vercelli,H,1,0,5.0,2.0,1.0,1.0,2.0,5.0,2.0,2.0,0.0,0.0,2.3,3.0,3.4,2.37,1.55
Cesena,Venezia,D,0,0,6.0,9.0,0.0,1.0,5.0,3.0,2.0,0.0,0.0,0.0,2.2,3.1,3.5,2.38,1.54
