HomeTeam,AwayTeam,FTR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25,FTHG,FTAG,HomeGoalsScoredHome,HomeGoalsConcededHome,AwayGoalsScoredAway,AwayGoalsConcededAway,APHH,APHA,APAH,APAA
Heracles,Ajax,H,7.0,4.33,1.44,1.64,2.18,2,1,0,0,0,0,0.0,0.0,0.0,0.0
PSV Eindhoven,AZ Alkmaar,H,1.4,4.75,7.0,1.45,2.64,3,2,0,0,0,0,0.0,0.0,0.0,0.0
Vitesse,NAC Breda,H,1.53,4.2,5.75,1.61,2.23,4,1,0,0,0,0,0.0,0.0,0.0,0.0
VVV Venlo,Sparta Rotterdam,H,2.25,3.3,3.2,1.9,1.87,3,0,0,0,0,0,0.0,0.0,0.0,0.0
Feyenoord,Twente,H,1.25,5.5,12.0,1.51,2.47,2,1,0,0,0,0,0.0,0.0,0.0,0.0
Groningen,Heerenveen,D,2.2,3.5,3.1,1.58,2.28,3,3,0,0,0,0,0.0,0.0,0.0,0.0
Willem II,Excelsior,A,2.05,3.5,3.4,1.87,1.9,1,2,0,0,0,0,0.0,0.0,0.0,0.0
Zwolle,Roda,H,1.85,3.6,4.0,1.78,1.94,4,2,0,0,0,0,0.0,0.0,0.0,0.0
Roda,Vitesse,A,3.6,3.75,1.91,1.74,2.08,1,3,0,0,0,0,0.0,0.0,3.0,0.0
AZ Alkmaar,Den Haag,H,1.36,5.0,7.5,1.44,2.67,2,0,0,0,0,0,0.0,0.0,0.0,0.0
Heerenveen,Heracles,D,1.62,4.0,5.25,1.48,2.53,1,1,0,0,0,0,0.0,1.0,3.0,0.0
Twente,VVV Venlo,A,1.73,3.8,4.5,1.67,2.13,1,2,0,0,0,0,0.0,0.0,3.0,0.0
Ajax,Groningen,H,1.25,5.5,12.0,1.39,2.88,3,1,0,0,0,0,0.0,0.0,1.0,0.0
Excelsior,Feyenoord,A,8.0,4.5,1.4,1.52,2.42,0,1,0,0,0,0,0.0,3.0,3.0,0.0
NAC Breda,PSV Eindhoven,A,10.0,5.25,1.29,1.44,2.67,1,4,0,0,0,0,0.0,0.0,3.0,0.0
Sparta Rotterdam,Zwolle,D,2.55,3.3,2.7,1.71,2.1,1,1,0,0,0,0,0.0,0.0,3.0,0.0
Utrecht,Willem II,H,1.5,3.9,7.0,1.82,1.97,2,0,0,0,0,0,0.0,3.0,0.0,0.0
NAC Breda,Sparta Rotterdam,D,2.3,3.4,3.0,1.78,2.02,2,2,1,4,0,3,0.0,0.0,1.0,0.0
Den Haag,Heerenveen,A,3.2,3.4,2.2,1.67,2.15,1,2,0,3,3,3,0.0,0.0,1.0,1.0
Heracles,Excelsior,D,2.05,3.5,3.4,1.62,2.23,2,2,2,1,2,1,3.0,1.0,0.0,3.0
Vitesse,AZ Alkmaar,A,2.1,3.4,3.4,1.58,2.32,1,2,4,1,2,3,3.0,3.0,3.0,0.0
