HomeTeam,AwayTeam,FTR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25,FTHG,FTAG,HomeGoalsScoredHome,HomeGoalsConcededHome,AwayGoalsScoredAway,AwayGoalsConcededAway,APHH,APHA,APAH,APAA
Setubal,Moreirense,D,2.5,3.0,3.0,2.55,1.48,1,1,0,0,0,0,0.0,0.0,0.0,0.0
Feirense,Tondela,D,2.2,3.2,3.4,2.35,1.56,1,1,0,0,0,0,0.0,0.0,0.0,0.0
Portimonense,Boavista,H,2.4,2.9,3.25,2.57,1.47,2,1,0,0,0,0,0.0,0.0,0.0,0.0
Rio Ave,Belenenses,H,1.91,3.4,4.0,2.31,1.57,1,0,0,0,0,0,0.0,0.0,0.0,0.0
Maritimo,Pacos Ferreira,H,2.0,3.2,4.0,2.3,1.57,1,0,0,0,0,0,0.0,0.0,0.0,0.0
Benfica,Sp Braga,H,1.36,4.75,8.5,1.73,2.05,3,1,0,0,0,0,0.0,0.0,0.0,0.0
Porto,Estoril,H,1.18,6.5,15.0,1.58,2.3,4,0,0,0,0,0,0.0,0.0,0.0,0.0
Guimaraes,Chaves,H,1.65,3.6,5.5,2.08,1.71,3,2,0,0,0,0,0.0,0.0,0.0,0.0
Sp Lisbon,Setubal,H,1.2,6.5,13.0,1.61,2.27,1,0,0,0,0,0,0.0,3.0,1.0,0.0
Belenenses,Maritimo,H,2.4,3.0,3.2,2.41,1.53,1,0,0,0,0,0,0.0,0.0,3.0,0.0
Boavista,Rio Ave,A,3.0,3.0,2.5,2.57,1.47,1,2,0,0,0,0,0.0,0.0,3.0,0.0
Moreirense,Feirense,D,2.4,3.0,3.2,2.44,1.52,0,0,0,0,0,0,0.0,1.0,1.0,0.0
Pacos Ferreira,Aves,D,1.91,3.3,4.2,2.33,1.56,2,2,0,0,0,0,0.0,0.0,0.0,0.0
Sp Braga,Portimonense,H,1.53,4.0,6.0,1.88,1.88,2,1,0,0,0,0,0.0,0.0,3.0,0.0
Tondela,Porto,A,11.0,5.0,1.29,1.72,2.07,0,1,0,0,0,0,0.0,1.0,3.0,0.0
Chaves,Benfica,A,7.0,4.75,1.4,1.75,2.02,0,1,0,0,0,0,0.0,0.0,3.0,0.0
Estoril,Guimaraes,H,3.2,3.2,2.3,2.21,1.62,3,0,0,0,0,0,0.0,0.0,3.0,0.0
Rio Ave,Portimonense,H,1.7,3.6,5.0,2.12,1.7,2,0,1,0,1,2,3.0,3.0,3.0,0.0
Benfica,Belenenses,H,1.2,6.25,15.0,1.47,2.54,5,0,3,1,0,1,3.0,3.0,3.0,0.0
Guimaraes,Sp Lisbon,A,4.75,3.6,1.75,1.94,1.84,0,5,3,2,2,0,3.0,0.0,3.0,3.0
Tondela,Estoril,A,2.25,3.25,3.2,2.28,1.59,2,3,0,1,0,4,0.0,1.0,3.0,0.0
