HomeTeam,AwayTeam,FTR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25,FTHG,FTAG,HomeGoalsScoredHome,HomeGoalsConcededHome,AwayGoalsScoredAway,AwayGoalsConcededAway,APHH,APHA,APAH,APAA
Dundee,Ross County,A,2.5,3.4,2.7,2.02,1.75,1,2,0,0,0,0,0.0,0.0,0.0,0.0
Hibernian,Partick,H,1.8,3.6,4.33,2.11,1.69,3,1,0,0,0,0,0.0,0.0,0.0,0.0
Kilmarnock,St Johnstone,A,2.6,3.3,2.63,2.18,1.64,1,2,0,0,0,0,0.0,0.0,0.0,0.0
Aberdeen,Hamilton,H,1.3,5.0,10.0,1.74,2.03,2,0,0,0,0,0,0.0,0.0,0.0,0.0
Motherwell,Rangers,A,5.25,4.0,1.6,1.8,1.96,1,2,0,0,0,0,0.0,0.0,0.0,0.0
Partick,Celtic,A,11.0,6.25,1.22,1.55,2.38,0,1,0,0,0,0,0.0,0.0,3.0,0.0
Hamilton,Dundee,H,2.38,3.25,3.0,2.06,1.73,3,0,0,0,0,0,0.0,0.0,0.0,0.0
Kilmarnock,Hearts,A,3.1,3.4,2.25,1.85,1.92,0,1,1,2,1,4,0.0,0.0,0.0,0.0
Rangers,Hibernian,A,1.73,3.75,4.5,1.83,1.94,2,3,0,0,0,0,0.0,3.0,3.0,0.0
Ross County,Aberdeen,A,4.75,3.6,1.73,1.77,2.0,1,2,0,0,0,0,0.0,3.0,3.0,0.0
St Johnstone,Motherwell,H,1.75,3.5,4.75,1.87,1.9,4,1,0,0,0,0,0.0,3.0,0.0,0.0
Aberdeen,Dundee,H,1.3,5.25,9.5,1.62,2.21,2,1,2,0,0,3,3.0,3.0,0.0,0.0
Hibernian,Hamilton,A,1.44,4.2,7.5,1.82,1.94,1,3,3,1,0,2,3.0,3.0,3.0,0.0
Kilmarnock,Celtic,A,15.0,7.0,1.17,1.47,2.57,0,2,1,3,1,0,0.0,0.0,3.0,3.0
Motherwell,Ross County,H,2.88,3.4,2.38,1.7,2.1,2,0,1,2,2,1,0.0,0.0,0.0,3.0
Rangers,Hearts,D,1.62,3.75,5.5,1.71,2.08,0,0,2,3,2,4,0.0,3.0,0.0,1.5
St Johnstone,Partick,H,2.05,3.4,3.5,2.1,1.7,1,0,4,1,1,3,3.0,3.0,0.0,0.0
Celtic,St Johnstone,D,1.17,7.5,13.0,1.56,2.34,1,1,4,1,2,1,3.0,3.0,3.0,3.0
Kilmarnock,Hamilton,D,2.4,3.4,2.8,2.03,1.75,2,2,1,5,3,3,0.0,0.0,3.0,1.5
Motherwell,Hearts,H,3.3,3.5,2.1,1.73,2.06,2,1,3,2,2,4,1.5,0.0,0.0,1.3333333333333333
Partick,Aberdeen,A,4.75,4.0,1.67,1.87,1.9,3,4,0,1,2,1,0.0,0.0,3.0,3.0
Dundee,Hibernian,D,3.6,3.5,2.0,2.0,1.78,1,1,1,2,3,2,0.0,0.0,1.5,3.0
Ross County,Rangers,A,5.0,4.0,1.62,1.66,2.15,1,3,1,2,2,1,0.0,1.5,0.5,3.0
Hamilton,Celtic,A,12.0,6.0,1.22,1.55,2.37,1,4,3,0,3,0,3.0,1.3333333333333333,2.0,3.0
Hearts,Aberdeen,D,3.6,3.6,1.95,1.77,2.01,0,0,0,0,6,4,0.0,1.0,3.0,3.0
Motherwell,Kilmarnock,H,2.05,3.4,3.6,1.91,1.86,2,0,5,3,0,0,2.0,0.0,0.25,0.0
Rangers,Dundee,H,1.3,5.0,10.0,1.53,2.39,4,1,2,3,1,5,0.5,3.0,0.5,0.0
Ross County,Partick,D,2.5,3.4,2.7,1.92,1.84,1,1,2,5,1,4,0.0,1.5,0.0,0.0
St Johnstone,Hibernian,D,3.1,3.4,2.25,1.9,1.87,1,1,5,1,4,3,3.0,2.0,1.5,2.0
Partick,Rangers,D,7.5,4.2,1.44,1.7,2.1,2,2,3,5,5,2,0.0,0.3333333333333333,1.3333333333333333,3.0
Aberdeen,Kilmarnock,D,1.33,5.0,9.0,1.72,2.08,1,1,4,1,0,2,3.0,2.3333333333333335,0.25,0.0
Celtic,Ross County,H,1.13,8.5,17.0,1.34,3.1,4,0,5,2,2,3,2.0,3.0,0.3333333333333333,1.5
Dundee,St Johnstone,H,2.75,3.3,2.5,1.88,1.89,3,2,2,3,3,2,0.5,0.0,2.3333333333333335,2.0
Hamilton,Hearts,A,3.5,3.4,2.05,1.87,1.9,1,2,4,4,3,6,1.5,1.3333333333333333,1.0,1.0
Hibernian,Motherwell,D,1.62,3.75,5.5,1.73,2.06,2,2,4,4,1,4,1.5,1.6666666666666667,2.25,0.0
Kilmarnock,Dundee,D,2.4,3.3,2.88,2.04,1.74,1,1,3,7,2,9,0.25,0.5,1.3333333333333333,0.0
Partick,Hearts,D,3.4,3.3,2.15,2.02,1.75,1,1,5,7,5,7,0.3333333333333333,0.3333333333333333,1.0,1.4
Rangers,Celtic,A,4.75,3.8,1.7,1.57,2.32,0,2,6,4,7,1,1.3333333333333333,2.3333333333333335,2.3333333333333335,3.0
Ross County,Hibernian,A,4.75,3.6,1.73,1.71,2.09,0,1,3,6,5,4,0.3333333333333333,1.0,1.3333333333333333,1.6666666666666667
St Johnstone,Hamilton,H,1.85,3.5,4.2,2.02,1.75,2,1,6,2,5,5,2.3333333333333335,1.3333333333333333,1.0,1.3333333333333333
Motherwell,Aberdeen,A,4.0,3.75,1.83,1.78,1.99,0,1,7,3,6,4,2.25,0.5,2.3333333333333335,2.3333333333333335
Hamilton,Rangers,A,6.5,4.5,1.45,1.62,2.22,1,4,5,6,7,4,1.0,1.0,1.0,2.3333333333333335
Aberdeen,St Johnstone,H,1.55,3.75,6.5,1.9,1.87,3,0,5,2,5,5,2.3333333333333335,2.5,2.5,1.3333333333333333
Celtic,Hibernian,D,1.25,6.0,11.0,1.44,2.64,2,2,9,2,6,4,2.3333333333333335,3.0,1.3333333333333333,2.0
Dundee,Hearts,H,3.75,3.4,2.0,1.9,1.87,2,1,5,5,5,4,1.3333333333333333,0.25,1.0,1.6
Kilmarnock,Ross County,A,2.6,3.25,2.7,1.95,1.82,0,2,4,8,2,7,0.4,0.5,0.25,1.0
Motherwell,Partick,H,2.1,3.25,3.5,1.89,1.87,3,0,7,4,2,5,1.8,0.5,0.5,0.3333333333333333
St Johnstone,Rangers,A,4.75,3.8,1.7,1.72,2.08,0,3,8,3,11,5,2.5,1.0,1.0,2.5
Celtic,Dundee,H,1.1,10.0,21.0,1.26,3.62,1,0,11,4,3,10,2.0,3.0,1.75,0.25
Hamilton,Motherwell,A,2.9,3.5,2.3,1.83,1.94,1,2,6,10,3,6,0.75,1.0,2.4,0.5
Hibernian,Aberdeen,A,2.25,3.6,2.9,1.9,1.87,0,1,6,6,7,4,1.3333333333333333,1.8,2.5,2.5
Partick,Kilmarnock,A,2.1,3.4,3.5,2.08,1.71,0,2,6,8,1,3,0.5,0.25,0.4,0.5
Ross County,Hearts,A,2.8,3.4,2.4,1.88,1.89,1,2,3,7,5,6,0.25,1.5,1.0,1.0
Hearts,St Johnstone,H,1.83,3.5,4.33,1.9,1.86,1,0,0,0,5,8,1.0,1.4,2.0,1.0
Partick,Dundee,H,2.37,3.29,2.89,2.06,1.73,2,1,6,10,3,11,0.4,0.25,1.75,0.2
Ross County,Hamilton,H,1.85,3.79,4.0,1.74,2.04,2,1,4,9,6,7,0.2,1.5,0.6,1.0
Hamilton,Partick,D,2.45,3.29,2.79,2.04,1.75,0,0,7,12,2,8,0.6,0.8,1.0,0.25
Hibernian,Hearts,H,1.95,3.39,3.89,1.99,1.78,1,0,6,7,7,7,1.0,1.8,2.0,1.4
St Johnstone,Ross County,D,2.29,3.29,3.1,2.01,1.77,0,0,8,6,4,7,2.0,0.8,0.8,1.5
Aberdeen,Celtic,A,7.0,4.0,1.5,1.79,1.99,0,3,8,2,9,1,2.5,2.6,2.2,3.0
Dundee,Motherwell,A,2.75,3.25,2.54,1.75,2.03,0,1,7,6,5,7,1.75,0.2,2.4,1.3333333333333333
