HomeTeam,AwayTeam,FTR,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25
Annan Athletic,Peterhead,A,1,2,11.0,13.0,8.0,7.0,6.0,7.0,3,1,0,0,3.4,3.75,2.0,1.57,2.29
Berwick,Clyde,H,3,1,9.0,18.0,3.0,8.0,5.0,9.0,1,1,0,0,3.0,3.4,2.3,1.73,2.03
Edinburgh City,Montrose,A,1,3,9.0,13.0,4.0,9.0,3.0,9.0,0,1,1,0,2.5,3.3,2.8,1.93,1.81
Elgin,Cowdenbeath,D,1,1,17.0,10.0,3.0,4.0,2.0,11.0,1,0,0,0,1.95,3.6,3.6,1.64,2.15
Stenhousemuir,Stirling,A,2,3,13.0,12.0,5.0,7.0,3.0,4.0,0,1,0,0,1.85,3.8,3.8,1.62,2.19
Clyde,Annan Athletic,H,2,1,11.0,13.0,5.0,4.0,2.0,5.0,2,3,0,0,2.0,3.5,3.6,1.57,2.28
Cowdenbeath,Edinburgh City,H,1,0,3.0,3.0,1.0,2.0,4.0,5.0,1,3,0,0,2.2,3.5,3.1,1.97,1.77
Montrose,Stenhousemuir,D,1,1,11.0,10.0,2.0,2.0,5.0,2.0,1,1,0,0,2.38,3.6,2.75,1.8,1.93
Peterhead,Elgin,H,3,0,20.0,6.0,9.0,1.0,7.0,2.0,1,3,1,0,1.44,4.2,7.5,1.6,2.22
Stirling,Berwick,H,4,0,17.0,20.0,8.0,1.0,6.0,7.0,0,0,0,0,1.75,3.75,4.5,1.65,2.13
Berwick,Annan Athletic,A,1,5,10.0,13.0,2.0,7.0,4.0,5.0,4,2,0,0,2.5,3.8,2.5,1.53,2.7
Elgin,Clyde,H,3,2,13.0,9.0,3.0,6.0,4.0,4.0,2,2,0,1,2.15,3.8,3.0,1.57,2.28
Montrose,Cowdenbeath,H,1,0,11.0,5.0,4.0,0.0,4.0,1.0,2,3,0,0,2.05,3.8,3.2,1.7,2.06
Stenhousemuir,Peterhead,H,3,1,8.0,13.0,4.0,7.0,1.0,4.0,1,1,0,0,3.2,3.8,2.05,1.59,2.25
Stirling,Edinburgh City,H,2,0,15.0,6.0,7.0,2.0,7.0,3.0,1,1,0,0,1.73,4.0,4.2,1.68,2.09
Annan Athletic,Montrose,A,0,1,6.0,9.0,4.0,4.0,4.0,7.0,2,1,0,0,2.4,3.4,2.8,1.62,2.19
Clyde,Stenhousemuir,D,1,1,11.0,8.0,3.0,5.0,6.0,1.0,2,0,0,0,2.1,3.5,3.3,1.67,2.1
Cowdenbeath,Berwick,A,0,1,9.0,11.0,6.0,7.0,8.0,3.0,2,3,0,0,1.95,3.6,3.6,1.68,2.09
Edinburgh City,Elgin,A,0,3,8.0,15.0,2.0,9.0,8.0,4.0,5,0,1,0,2.7,3.4,2.5,1.81,1.93
Peterhead,Stirling,A,2,4,14.0,15.0,6.0,6.0,7.0,2.0,3,1,1,0,1.73,3.8,4.5,1.63,2.17
Edinburgh City,Berwick,H,1,0,4.0,6.0,3.0,3.0,2.0,6.0,1,1,0,0,2.25,3.75,2.8,1.74,2.0
Elgin,Annan Athletic,A,0,1,12.0,17.0,3.0,4.0,5.0,6.0,1,1,0,0,2.1,3.6,3.2,1.49,2.47
Peterhead,Montrose,D,1,1,12.0,6.0,5.0,4.0,2.0,4.0,2,2,0,0,1.65,4.1,4.75,1.62,2.2
Stenhousemuir,Cowdenbeath,H,1,0,14.0,9.0,4.0,2.0,3.0,5.0,1,1,0,0,1.95,3.6,3.6,1.62,2.19
Stirling,Clyde,A,2,3,10.0,15.0,4.0,4.0,3.0,8.0,1,3,0,0,1.85,3.8,3.8,1.61,2.22
Annan Athletic,Stenhousemuir,D,1,1,9.0,12.0,3.0,5.0,6.0,2.0,1,1,0,0,2.63,3.5,2.5,1.59,2.24
Berwick,Elgin,H,3,2,18.0,10.0,6.0,5.0,7.0,3.0,2,1,0,0,2.8,3.5,2.38,1.61,2.2
Clyde,Edinburgh City,A,2,3,13.0,4.0,4.0,3.0,9.0,0.0,1,4,1,0,2.0,3.6,3.5,1.7,2.06
Cowdenbeath,Peterhead,A,0,4,3.0,12.0,3.0,9.0,6.0,6.0,1,0,0,0,3.6,3.75,1.91,1.68,2.09
Montrose,Stirling,A,1,3,12.0,16.0,4.0,10.0,6.0,1.0,2,1,0,0,2.38,3.5,2.8,1.64,2.15
Clyde,Cowdenbeath,D,1,1,19.0,12.0,11.0,6.0,15.0,7.0,2,2,1,0,1.85,3.8,3.8,1.71,2.04
Edinburgh City,Peterhead,A,0,3,6.0,15.0,4.0,8.0,3.0,2.0,3,1,0,0,5.0,4.0,1.62,1.66,2.11
Elgin,Montrose,H,3,0,15.0,14.0,7.0,3.0,2.0,5.0,0,2,0,0,2.4,3.5,2.75,1.61,2.21
Stenhousemuir,Berwick,H,3,0,12.0,8.0,5.0,3.0,6.0,1.0,2,2,0,0,1.62,4.0,5.0,1.57,2.26
Stirling,Annan Athletic,H,3,2,10.0,16.0,7.0,6.0,2.0,5.0,2,4,0,0,1.8,4.0,3.8,1.5,2.44
Annan Athletic,Cowdenbeath,H,1,0,18.0,5.0,6.0,1.0,4.0,3.0,3,1,0,0,1.8,3.6,3.8,1.65,2.13
Montrose,Clyde,H,3,2,8.0,16.0,5.0,4.0,6.0,5.0,1,2,0,0,2.55,3.4,2.45,1.67,2.1
Peterhead,Berwick,A,0,2,15.0,6.0,4.0,3.0,10.0,2.0,1,2,0,0,1.45,4.2,6.0,1.56,2.28
Stenhousemuir,Edinburgh City,H,3,0,14.0,10.0,8.0,2.0,7.0,4.0,0,0,0,0,1.45,4.33,5.75,1.61,2.19
Stirling,Elgin,D,2,2,10.0,12.0,5.0,5.0,3.0,7.0,2,4,0,0,1.85,3.75,3.5,1.56,2.29
Berwick,Montrose,A,0,1,5.0,5.0,3.0,4.0,1.0,2.0,0,2,0,0,2.79,3.5,2.37,1.61,2.2
Clyde,Peterhead,A,1,4,8.0,20.0,4.0,10.0,5.0,8.0,4,1,0,0,3.6,4.0,1.85,1.49,2.48
Cowdenbeath,Stirling,A,0,3,6.0,13.0,4.0,7.0,6.0,2.0,2,1,0,0,3.25,3.5,2.1,1.65,2.13
