HomeTeam,AwayTeam,FTR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25,FTHG,FTAG,HomeGoalsScoredHome,HomeGoalsConcededHome,AwayGoalsScoredAway,AwayGoalsConcededAway,APHH,APHA,APAH,APAA
Valencia,Las Palmas,H,1.75,3.8,4.5,1.64,2.27,1,0,0,0,0,0,0.0,0.0,0.0,0.0
Celta,Sociedad,A,2.38,3.25,3.2,1.98,1.84,2,3,0,0,0,0,0.0,0.0,0.0,0.0
Girona,Ath Madrid,D,8.0,4.33,1.45,2.11,1.74,2,2,0,0,0,0,0.0,0.0,0.0,0.0
Sevilla,Espanol,D,1.62,4.0,5.5,1.75,2.09,1,1,0,0,0,0,0.0,0.0,0.0,0.0
Ath Bilbao,Getafe,D,1.5,4.0,7.5,1.94,1.87,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Barcelona,Betis,H,1.17,8.0,15.0,1.4,2.88,2,0,0,0,0,0,0.0,0.0,0.0,0.0
La Coruna,Real Madrid,A,9.5,5.75,1.3,1.46,2.64,0,3,0,0,0,0,0.0,0.0,0.0,0.0
Levante,Villarreal,H,3.25,3.25,2.3,2.36,1.58,1,0,0,0,0,0,0.0,0.0,0.0,0.0
Malaga,Eibar,A,2.1,3.3,3.7,2.14,1.7,0,1,0,0,0,0,0.0,0.0,0.0,0.0
Betis,Celta,H,2.2,3.4,3.4,1.97,1.85,2,1,0,0,0,0,0.0,0.0,0.0,0.0
Sociedad,Villarreal,H,2.05,3.4,3.75,2.07,1.76,3,0,0,0,0,1,0.0,3.0,0.0,0.0
Alaves,Barcelona,A,10.0,5.75,1.29,1.57,2.38,0,2,0,0,0,0,0.0,0.0,3.0,0.0
Girona,Malaga,H,2.15,3.25,3.6,2.2,1.67,1,0,2,2,0,0,1.0,0.0,0.0,0.0
Las Palmas,Ath Madrid,A,4.75,3.75,1.75,2.09,1.74,1,5,0,0,2,2,0.0,0.0,0.0,1.0
Levante,La Coruna,D,2.2,3.1,3.6,2.31,1.61,2,2,1,0,0,0,3.0,0.0,0.0,0.0
Eibar,Ath Bilbao,A,2.5,3.1,3.1,2.2,1.67,0,1,0,0,0,0,0.0,3.0,1.0,0.0
