HomeTeam,AwayTeam,FTR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25,FTHG,FTAG,HomeGoalsScoredHome,HomeGoalsConcededHome,AwayGoalsScoredAway,AwayGoalsConcededAway,APHH,APHA,APAH,APAA
Akhisar Belediyespor,Sivasspor,H,2.0,3.4,3.75,2.08,1.73,1,0,0,0,0,0,0.0,0.0,0.0,0.0
Alanyaspor,Kasimpasa,A,2.15,3.4,3.3,1.6,2.27,1,3,0,0,0,0,0.0,0.0,0.0,0.0
Genclerbirligi,Karabukspor,D,2.0,3.5,3.6,2.15,1.67,1,1,0,0,0,0,0.0,0.0,0.0,0.0
Goztep,Fenerbahce,D,4.75,3.6,1.73,1.92,1.86,2,2,0,0,0,0,0.0,0.0,0.0,0.0
Besiktas,Antalyaspor,H,1.4,4.5,7.5,1.55,2.38,2,0,0,0,0,0,0.0,0.0,0.0,0.0
Trabzonspor,Konyaspor,H,1.65,3.5,5.75,2.04,1.75,2,1,0,0,0,0,0.0,0.0,0.0,0.0
Yeni Malatyaspor,Osmanlispor,H,2.88,3.2,2.5,1.84,1.93,3,1,0,0,0,0,0.0,0.0,0.0,0.0
Galatasaray,Kayserispor,H,1.53,3.75,7.0,1.54,2.38,4,1,0,0,0,0,0.0,0.0,0.0,0.0
Kasimpasa,Besiktas,D,4.75,4.0,1.67,1.56,2.38,2,2,0,0,0,0,0.0,3.0,3.0,0.0
Bursaspor,Alanyaspor,H,2.0,3.6,3.5,1.58,2.3,3,2,0,0,0,0,0.0,0.0,0.0,0.0
Karabukspor,Buyuksehyr,H,3.5,3.4,2.05,1.91,1.86,3,1,0,0,0,0,0.0,1.0,3.0,0.0
Osmanlispor,Galatasaray,A,4.5,3.5,1.8,1.66,2.17,1,3,0,0,0,0,0.0,0.0,3.0,0.0
Sivasspor,Yeni Malatyaspor,H,2.1,3.3,3.5,2.06,1.73,2,0,0,0,0,0,0.0,0.0,3.0,0.0
Antalyaspor,Akhisar Belediyespor,D,1.91,3.5,3.9,1.94,1.84,2,2,0,0,0,0,0.0,0.0,3.0,0.0
Fenerbahce,Trabzonspor,D,1.8,3.5,4.5,1.87,1.9,2,2,0,0,0,0,0.0,1.0,3.0,0.0
Kayserispor,Goztep,H,2.0,3.4,3.75,1.89,1.89,1,0,0,0,0,0,0.0,0.0,1.0,0.0
Konyaspor,Genclerbirligi,H,2.2,3.2,3.4,2.25,1.61,3,0,0,0,0,0,0.0,0.0,1.0,0.0
Alanyaspor,Karabukspor,D,2.1,3.5,3.3,1.63,2.23,1,1,1,3,1,1,0.0,0.0,3.0,1.0
Galatasaray,Sivasspor,H,1.36,4.75,8.5,1.52,2.47,3,0,4,1,0,1,3.0,3.0,3.0,0.0
Besiktas,Bursaspor,H,1.36,5.0,7.5,1.38,2.91,2,1,2,0,0,1,3.0,1.0,3.0,0.0
Goztep,Trabzonspor,H,3.8,3.3,2.0,1.9,1.87,3,2,2,2,2,2,1.0,0.0,3.0,1.0
Kayserispor,Osmanlispor,D,2.4,3.3,2.9,1.94,1.84,2,2,1,0,1,3,3.0,0.0,0.0,0.0
Yeni Malatyaspor,Antalyaspor,D,3.0,3.1,2.45,1.88,1.89,1,1,3,1,0,2,3.0,0.0,1.0,0.0
Akhisar Belediyespor,Kasimpasa,H,2.0,3.3,3.8,1.79,1.99,2,1,1,0,3,1,3.0,1.0,1.0,3.0
Buyuksehyr,Konyaspor,H,1.44,4.75,6.0,2.0,1.78,2,1,1,0,1,2,3.0,0.0,3.0,0.0
Genclerbirligi,Fenerbahce,A,4.0,3.5,1.95,2.04,1.75,1,2,1,1,2,2,1.0,0.0,1.0,1.0
Fenerbahce,Buyuksehyr,A,2.05,3.25,3.75,2.02,1.77,2,3,2,2,1,3,1.0,2.0,3.0,0.0
Karabukspor,Besiktas,A,4.33,3.4,1.85,1.87,1.9,0,1,3,1,2,2,3.0,1.0,3.0,1.0
Konyaspor,Alanyaspor,A,2.0,3.3,3.75,1.71,2.1,0,2,3,0,2,3,3.0,0.0,0.5,0.0
Sivasspor,Kayserispor,A,2.25,3.2,3.2,1.95,1.83,0,2,2,0,1,4,3.0,0.0,2.0,0.0
Antalyaspor,Galatasaray,D,3.75,3.6,1.91,1.57,2.33,1,1,2,2,3,1,1.0,0.5,3.0,3.0
Bursaspor,Akhisar Belediyespor,H,2.38,3.3,2.9,1.74,2.06,3,0,3,2,2,2,3.0,0.0,3.0,1.0
Osmanlispor,Goztep,A,1.8,3.75,4.2,1.82,1.97,0,2,1,3,0,1,0.0,0.5,2.0,0.0
Trabzonspor,Genclerbirligi,H,1.57,3.8,6.0,1.95,1.84,3,1,2,1,0,3,3.0,0.5,0.5,0.0
Kasimpasa,Yeni Malatyaspor,H,1.8,3.75,4.2,1.63,2.23,3,2,2,2,0,2,1.0,1.5,2.0,0.0
Kayserispor,Antalyaspor,H,2.38,3.3,2.9,1.88,1.91,2,0,3,2,1,3,2.0,1.5,1.0,0.5
Akhisar Belediyespor,Karabukspor,H,1.85,3.6,4.0,1.79,2.0,2,1,3,1,2,2,3.0,0.5,1.5,1.0
Galatasaray,Kasimpasa,H,1.3,5.75,8.5,1.4,2.81,2,0,7,1,4,3,3.0,2.0,2.0,1.5
Yeni Malatyaspor,Bursaspor,A,2.4,3.4,2.8,1.85,1.93,2,4,4,2,1,3,2.0,0.0,3.0,0.0
Alanyaspor,Fenerbahce,A,3.4,3.5,2.05,1.58,2.32,1,4,2,4,4,3,0.5,1.5,0.5,2.0
Buyuksehyr,Trabzonspor,D,1.85,3.4,4.33,1.72,2.09,2,2,3,1,4,5,3.0,1.5,3.0,0.5
Goztep,Genclerbirligi,H,2.0,3.4,3.75,1.96,1.82,3,2,5,4,1,6,2.0,1.5,0.5,0.0
Osmanlispor,Sivasspor,A,1.85,3.3,4.5,1.94,1.84,2,4,1,5,0,4,0.0,0.5,1.5,0.0
Besiktas,Konyaspor,H,1.4,4.5,7.5,1.62,2.25,2,0,4,1,2,4,3.0,2.0,1.5,0.0
Trabzonspor,Alanyaspor,A,1.45,4.5,6.5,1.4,2.82,3,4,5,2,4,3,3.0,0.6666666666666666,0.3333333333333333,1.5
Fenerbahce,Besiktas,H,2.6,3.2,2.75,1.81,1.97,2,1,4,5,3,2,0.5,2.3333333333333335,3.0,2.0
Genclerbirligi,Buyuksehyr,H,5.0,3.5,1.73,1.89,1.89,1,0,2,3,4,5,0.5,0.0,2.3333333333333335,1.5
Konyaspor,Akhisar Belediyespor,H,2.7,3.1,2.7,2.1,1.71,2,0,3,2,2,5,1.5,0.0,3.0,0.5
Bursaspor,Galatasaray,A,5.75,3.8,1.6,1.49,2.55,1,2,6,2,4,2,3.0,1.0,3.0,2.0
Karabukspor,Yeni Malatyaspor,A,1.85,3.5,4.2,1.84,1.95,2,4,3,2,2,5,1.5,0.6666666666666666,1.3333333333333333,0.0
Kasimpasa,Kayserispor,D,2.15,3.5,3.2,1.7,2.11,1,1,5,4,3,4,2.0,1.0,2.3333333333333335,1.5
Sivasspor,Goztep,A,2.05,3.3,3.6,1.81,1.96,2,3,2,2,2,1,1.5,1.0,2.3333333333333335,1.5
Antalyaspor,Osmanlispor,H,2.0,3.4,3.75,1.76,2.02,3,0,3,3,3,5,1.0,0.3333333333333333,0.0,0.5
Akhisar Belediyespor,Fenerbahce,H,3.4,3.2,2.2,1.7,2.11,1,0,5,2,8,4,3.0,0.3333333333333333,1.3333333333333333,2.3333333333333335
Galatasaray,Karabukspor,H,1.3,5.0,10.0,1.48,2.58,3,2,9,1,3,4,3.0,2.3333333333333335,1.0,0.6666666666666666
Kayserispor,Bursaspor,H,2.0,3.4,3.75,1.75,2.04,3,1,5,2,5,5,2.3333333333333335,1.3333333333333333,2.0,1.0
Osmanlispor,Kasimpasa,H,1.95,3.75,3.5,1.61,2.26,3,0,3,9,4,5,0.0,0.3333333333333333,1.6666666666666667,1.0
Sivasspor,Antalyaspor,H,2.38,3.3,2.9,1.85,1.92,3,1,4,5,1,5,1.0,1.0,1.6666666666666667,0.3333333333333333
Alanyaspor,Genclerbirligi,H,2.0,3.5,3.6,1.69,2.13,4,1,3,8,3,9,0.3333333333333333,2.0,1.3333333333333333,0.0
Besiktas,Trabzonspor,D,1.85,3.4,4.33,1.66,2.17,2,2,6,1,6,7,3.0,1.3333333333333333,2.0,0.6666666666666666
Goztep,Buyuksehyr,A,3.6,3.6,1.95,1.74,2.06,1,2,8,6,4,6,2.3333333333333335,2.0,2.3333333333333335,1.0
Yeni Malatyaspor,Konyaspor,D,2.38,3.2,3.0,1.91,1.85,1,1,6,6,2,6,1.3333333333333333,1.0,2.0,0.0
Genclerbirligi,Besiktas,H,5.5,4.0,1.57,1.85,1.93,2,1,3,3,4,4,1.3333333333333333,0.0,2.5,1.3333333333333333
Antalyaspor,Goztep,A,2.0,3.5,3.6,1.68,2.13,1,3,6,3,5,3,1.6666666666666667,0.25,1.75,2.0
Buyuksehyr,Alanyaspor,H,1.5,4.33,6.0,1.48,2.55,2,1,5,3,8,6,2.3333333333333335,1.5,1.0,2.0
Karabukspor,Kayserispor,H,2.25,3.3,3.2,1.91,1.86,1,0,5,6,4,5,1.0,0.5,2.5,1.3333333333333333
Konyaspor,Galatasaray,A,5.0,3.8,1.65,1.79,1.99,0,2,5,2,6,3,2.0,0.25,3.0,2.3333333333333335
Fenerbahce,Yeni Malatyaspor,H,1.45,4.5,6.5,1.63,2.22,3,1,6,6,6,7,1.3333333333333333,1.75,1.25,1.0
Kasimpasa,Sivasspor,A,2.25,3.4,3.1,1.72,2.08,2,3,6,5,4,6,1.6666666666666667,0.75,1.5,1.0
Trabzonspor,Akhisar Belediyespor,A,1.7,3.75,4.75,1.75,2.03,1,6,8,6,2,7,2.0,0.75,3.0,0.3333333333333333
Bursaspor,Osmanlispor,H,2.5,3.2,2.8,1.75,2.02,3,1,7,4,3,8,2.0,0.75,0.75,0.3333333333333333
Antalyaspor,Kasimpasa,H,1.72,3.89,4.33,1.6,2.27,2,1,7,6,4,8,1.25,0.25,1.25,0.75
Goztep,Alanyaspor,D,1.9,3.79,3.6,1.48,2.57,3,3,9,8,9,8,1.75,2.25,1.0,1.5
Akhisar Belediyespor,Genclerbirligi,D,1.72,3.6,4.75,1.86,1.9,3,3,6,2,4,13,3.0,1.0,1.75,0.0
Osmanlispor,Karabukspor,H,1.72,3.6,5.0,1.74,2.06,3,0,6,9,5,7,0.75,0.25,1.5,0.5
Yeni Malatyaspor,Trabzonspor,H,3.39,3.25,2.14,1.7,2.1,1,0,7,7,8,9,1.25,0.75,1.5,0.75
Galatasaray,Fenerbahce,D,1.83,3.39,4.5,1.69,2.1,0,0,12,3,8,5,3.0,2.5,1.75,1.75
Kayserispor,Konyaspor,H,1.83,3.5,4.2,2.08,1.72,2,1,8,3,3,7,2.5,1.0,1.5,0.25
Sivasspor,Bursaspor,D,1.95,3.39,3.79,1.72,2.07,0,0,7,6,6,8,1.5,1.5,2.25,0.75
Besiktas,Buyuksehyr,D,1.75,3.5,4.75,1.79,1.99,1,1,8,3,6,7,2.5,1.0,2.5,1.5
Kasimpasa,Goztep,H,2.37,3.39,2.87,1.5,2.51,3,1,8,8,8,4,1.25,0.6,1.6,2.25
Alanyaspor,Besiktas,A,5.25,3.75,1.64,1.45,2.62,1,2,7,9,5,6,1.0,1.4,2.2,1.0
Buyuksehyr,Akhisar Belediyespor,H,1.66,3.5,5.75,1.78,2.0,2,1,7,4,8,8,2.5,1.4,2.6,1.0
Genclerbirligi,Yeni Malatyaspor,A,2.0,3.39,3.75,1.89,1.88,0,1,5,4,7,10,1.75,0.2,1.6,0.75
Bursaspor,Antalyaspor,H,2.39,3.25,2.89,1.62,2.22,4,0,10,5,2,8,2.25,0.8,1.6,0.25
Karabukspor,Sivasspor,A,2.5,3.25,2.79,1.85,1.92,0,1,6,6,7,8,1.5,0.4,1.4,1.5
Konyaspor,Osmanlispor,H,2.7,3.1,2.7,1.9,1.87,1,0,5,4,4,11,1.5,0.2,1.2,0.25
Trabzonspor,Galatasaray,H,3.89,3.89,1.8,1.59,2.27,2,1,9,12,8,3,1.5,0.6,2.6,2.5
Fenerbahce,Kayserispor,D,1.44,4.33,7.0,1.62,2.22,3,3,9,7,4,6,1.75,1.6,2.6,1.0
Galatasaray,Genclerbirligi,H,1.33,5.25,8.0,1.56,2.36,5,1,12,3,7,16,2.6,2.0,1.4,0.2
Antalyaspor,Karabukspor,H,1.66,3.5,5.5,1.77,2.01,2,1,9,7,5,10,1.6,0.2,1.2,0.4
Kasimpasa,Bursaspor,D,2.25,3.5,3.0,1.56,2.35,2,2,11,9,6,8,1.6,0.6,2.4,0.8
Kayserispor,Trabzonspor,D,2.79,3.2,2.5,1.8,1.97,0,0,10,4,8,10,2.6,1.0,1.8,0.6
Osmanlispor,Fenerbahce,D,3.7,3.6,1.95,1.71,2.08,1,1,9,9,8,5,1.2,0.2,1.6,1.6
Akhisar Belediyespor,Alanyaspor,A,1.9,3.5,4.0,1.48,2.56,0,4,9,5,12,11,2.6,0.8,0.8,1.4
Goztep,Besiktas,A,4.33,4.2,1.66,1.56,2.35,1,3,12,11,7,7,1.6,1.8,2.2,1.4
Sivasspor,Konyaspor,H,2.2,3.2,3.39,2.04,1.74,2,1,7,6,4,9,1.4,1.8,1.8,0.2
Yeni Malatyaspor,Buyuksehyr,A,3.5,3.39,2.04,1.84,1.93,0,2,8,7,7,8,1.6,1.2,2.6,1.4
Besiktas,Akhisar Belediyespor,D,1.39,4.75,7.0,1.5,2.53,0,0,9,4,9,10,2.2,1.8,2.0,0.8
Bursaspor,Goztep,D,1.95,3.75,3.5,1.49,2.53,0,0,14,5,9,7,2.4,1.0,1.4,1.8
Buyuksehyr,Galatasaray,H,2.7,3.2,2.62,1.78,2.0,5,1,9,5,9,5,2.6,2.0,2.6,2.0
Konyaspor,Antalyaspor,D,2.29,3.29,3.1,2.02,1.76,1,1,6,4,2,12,1.8,0.2,2.0,0.2
Alanyaspor,Yeni Malatyaspor,H,1.95,3.5,3.7,1.51,2.46,1,0,8,11,8,10,0.8,2.0,1.0,1.2
Fenerbahce,Sivasspor,H,1.66,3.79,5.0,1.67,2.13,4,1,12,10,8,8,1.6,1.6,1.4,1.8
Genclerbirligi,Kayserispor,A,2.54,3.25,2.75,2.04,1.75,1,2,5,5,7,9,1.4,0.2,2.2,1.0
Trabzonspor,Osmanlispor,H,1.5,3.79,5.5,1.64,2.15,4,3,11,13,4,12,1.8,0.6,1.4,0.2
Karabukspor,Kasimpasa,A,2.29,3.2,3.1,1.73,2.06,0,2,6,7,5,10,1.2,0.2,1.6,0.6
Osmanlispor,Genclerbirligi,H,1.75,3.6,4.5,1.75,2.05,2,0,9,7,8,18,1.4,0.2,1.2,0.2
Galatasaray,Alanyaspor,H,1.36,4.75,8.0,1.36,3.0,2,0,13,3,14,8,2.6,1.4,1.4,2.0
Goztep,Akhisar Belediyespor,H,2.39,3.39,2.79,1.65,2.18,2,0,11,12,7,8,1.4,2.0,2.0,0.8
Yeni Malatyaspor,Besiktas,D,5.5,4.0,1.57,1.65,2.18,0,0,5,8,8,6,1.0,1.2,1.8,1.8
Antalyaspor,Fenerbahce,A,3.29,3.5,2.1,1.75,2.03,0,1,9,6,7,4,2.0,0.4,2.0,1.6
Bursaspor,Karabukspor,H,1.72,3.79,4.5,1.64,2.18,2,1,11,3,5,11,2.0,1.0,0.6,0.2
